maintenance_id,train_id,maintenance_type,start_date,end_date,duration_days,cost,technician_employee_id,status,workshop_station_id,notes
MNT00065,TR0175,Scheduled Service,2024-02-22,2024-03-16,23,246899.29,EMP0347,Scheduled,ST059,Routine check completed
MNT00066,TR0139,Safety Audit,2024-01-06,2024-01-22,16,223317.3,EMP0428,Completed,ST064,All systems OK
MNT00067,TR0045,AC Servicing,2023-11-03,2023-11-05,2,153759.12,EMP0433,Completed,ST004,Critical issue found
MNT00068,TR0139,Safety Audit,2023-10-31,2023-11-28,28,143163.54,EMP0295,Completed,ST075,Critical issue found
MNT00069,TR0043,Pantry Car Cleaning,2024-12-02,2024-12-30,28,66195.88,EMP0388,Completed,ST049,Critical issue found
MNT00070,TR0025,Engine Overhaul,2023-02-05,2023-02-08,3,107208.29,EMP0050,Completed,ST070,Critical issue found
MNT00071,TR0080,Engine Overhaul,2024-11-09,2024-11-29,20,133466.83,EMP0456,Completed,ST017,All systems OK
MNT00072,TR0004,Interior Refurbishment,2024-02-04,2024-02-13,9,371227.26,EMP0278,Completed,ST075,All systems OK
MNT00073,TR0134,Engine Overhaul,2024-01-21,2024-02-15,25,260782.32,EMP0407,Deferred,ST021,Parts replaced
MNT00074,TR0189,Wheel Replacement,2024-03-25,2024-04-18,24,310894.36,EMP0324,Completed,ST012,Routine check completed
MNT00075,TR0067,AC Servicing,2023-07-21,2023-08-08,18,128873.47,EMP0076,Completed,ST062,Routine check completed
MNT00076,TR0056,Wheel Replacement,2024-05-09,2024-05-25,16,74568.08,EMP0215,Cancelled,ST037,Awaiting spare parts
MNT00077,TR0051,Wheel Replacement,2024-08-31,2024-09-16,16,367102.67,EMP0436,Completed,ST012,Routine check completed
MNT00078,TR0152,Scheduled Service,2024-02-07,2024-02-16,9,174679.03,EMP0140,Deferred,ST065,Parts replaced
MNT00079,TR0045,Safety Audit,2024-09-03,2024-09-16,13,421168.17,EMP0488,Scheduled,ST007,Critical issue found
MNT00080,TR0033,Scheduled Service,2023-03-24,2023-03-28,4,94421.1,EMP0120,In Progress,ST075,Critical issue found
MNT00081,TR0083,Wheel Replacement,2023-05-12,2023-05-27,15,196564.84,EMP0310,Scheduled,ST068,All systems OK
MNT00082,TR0114,Interior Refurbishment,2024-08-05,2024-08-07,2,426167.48,EMP0330,Completed,ST040,Parts replaced
MNT00083,TR0195,Engine Overhaul,2024-10-27,2024-11-18,22,59432.3,EMP0450,In Progress,ST007,Awaiting spare parts
MNT00084,TR0112,Wheel Replacement,2023-09-27,2023-10-20,23,49913.89,EMP0099,Scheduled,ST057,All systems OK
MNT00085,TR0060,Safety Audit,2024-09-29,2024-10-10,11,57857.4,EMP0159,Scheduled,ST021,Critical issue found
MNT00086,TR0073,Interior Refurbishment,2023-05-18,2023-06-11,24,241984.12,EMP0328,Completed,ST009,Critical issue found
MNT00087,TR0006,Interior Refurbishment,2023-06-15,2023-06-24,9,154273.68,EMP0142,Completed,ST037,Routine check completed
MNT00088,TR0131,Interior Refurbishment,2024-05-12,2024-06-09,28,499244.78,EMP0184,Completed,ST036,All systems OK
MNT00089,TR0150,AC Servicing,2024-10-04,2024-11-03,30,496470.9,EMP0087,Completed,ST017,Critical issue found
MNT00090,TR0073,Interior Refurbishment,2023-05-08,2023-05-26,18,476640.93,EMP0330,Cancelled,ST045,Routine check completed
MNT00091,TR0169,Scheduled Service,2024-09-28,2024-10-26,28,336311.83,EMP0437,Completed,ST049,Awaiting spare parts
MNT00092,TR0096,Signaling Equipment,2024-11-04,2024-11-22,18,138968.54,EMP0476,Cancelled,ST074,All systems OK
MNT00093,TR0040,Brake Inspection,2023-06-01,2023-06-03,2,15157.76,EMP0035,Completed,ST021,Routine check completed
MNT00094,TR0073,Pantry Car Cleaning,2023-03-20,2023-03-30,10,379690.82,EMP0364,In Progress,ST054,Routine check completed
MNT00095,TR0014,Interior Refurbishment,2024-01-23,2024-02-02,10,232850.21,EMP0279,Completed,ST074,Parts replaced
MNT00096,TR0096,Wheel Replacement,2024-12-08,2024-12-26,18,323233.39,EMP0017,Completed,ST046,Parts replaced
MNT00097,TR0084,AC Servicing,2024-11-01,2024-11-14,13,291577.49,EMP0022,Completed,ST016,All systems OK
MNT00098,TR0085,Safety Audit,2023-03-15,2023-04-13,29,283861.8,EMP0399,Completed,ST073,Critical issue found
MNT00099,TR0128,Electrical Check,2023-05-17,2023-05-24,7,35755.36,EMP0326,Completed,ST021,Routine check completed
MNT00100,TR0073,AC Servicing,2024-11-25,2024-12-16,21,330329.42,EMP0449,Completed,ST043,Awaiting spare parts
MNT00101,TR0189,Electrical Check,2024-08-20,2024-08-26,6,263608.84,EMP0147,Deferred,ST067,All systems OK
MNT00102,TR0040,AC Servicing,2023-01-15,2023-01-19,4,91226.27,EMP0027,Completed,ST037,All systems OK
MNT00103,TR0152,Wheel Replacement,2023-04-08,2023-04-20,12,477125.9,EMP0178,Completed,ST038,Routine check completed
MNT00104,TR0008,Safety Audit,2024-12-05,2024-12-25,20,94154.11,EMP0244,Completed,ST052,Awaiting spare parts
MNT00105,TR0029,Wheel Replacement,2023-12-18,2023-12-30,12,336473.23,EMP0247,In Progress,ST040,Awaiting spare parts
MNT00106,TR0106,Brake Inspection,2024-07-08,2024-07-13,5,428217.92,EMP0034,Scheduled,ST015,Routine check completed
MNT00107,TR0066,Brake Inspection,2023-05-08,2023-06-04,27,111480.86,EMP0006,Completed,ST068,Parts replaced
MNT00108,TR0195,Engine Overhaul,2023-12-30,2024-01-04,5,152208.81,EMP0205,Scheduled,ST023,Parts replaced
MNT00109,TR0021,Wheel Replacement,2024-07-10,2024-08-07,28,86449.94,EMP0006,Completed,ST013,Routine check completed
MNT00110,TR0194,Engine Overhaul,2024-08-31,2024-09-28,28,92022.52,EMP0218,Completed,ST041,Awaiting spare parts
MNT00111,TR0013,AC Servicing,2024-07-31,2024-08-03,3,475393.39,EMP0280,Completed,ST035,Critical issue found
MNT00112,TR0115,Electrical Check,2023-09-02,2023-09-22,20,176285.06,EMP0457,Completed,ST030,Critical issue found
MNT00113,TR0134,Interior Refurbishment,2023-02-05,2023-02-26,21,229546.46,EMP0484,Scheduled,ST004,Critical issue found
MNT00114,TR0073,Safety Audit,2023-04-20,2023-05-18,28,383910.53,EMP0381,Completed,ST042,All systems OK
MNT00115,TR0104,Signaling Equipment,2023-08-14,2023-09-06,23,324575.56,EMP0214,Cancelled,ST003,All systems OK
MNT00116,TR0180,Electrical Check,2024-05-07,2024-05-19,12,321754.23,EMP0310,Scheduled,ST037,Parts replaced
MNT00117,TR0007,Brake Inspection,2023-10-22,2023-11-04,13,27327.46,EMP0285,Completed,ST002,All systems OK
MNT00118,TR0081,Safety Audit,2024-05-30,2024-06-06,7,436157.36,EMP0088,In Progress,ST006,Critical issue found
MNT00119,TR0168,Interior Refurbishment,2023-08-24,2023-09-17,24,71049.67,EMP0292,In Progress,ST008,Routine check completed
MNT00120,TR0191,AC Servicing,2024-06-18,2024-07-06,18,250952.69,EMP0295,Completed,ST028,Routine check completed
MNT00121,TR0199,Engine Overhaul,2024-05-09,2024-05-25,16,425677.66,EMP0340,Completed,ST061,Awaiting spare parts
MNT00122,TR0190,Brake Inspection,2024-06-14,2024-07-11,27,201459.71,EMP0249,Deferred,ST037,Critical issue found
MNT00123,TR0053,Safety Audit,2024-03-05,2024-03-14,9,23376.95,EMP0298,Scheduled,ST032,Awaiting spare parts
MNT00124,TR0055,Electrical Check,2023-05-19,2023-06-03,15,278289.54,EMP0461,Completed,ST006,Parts replaced
MNT00125,TR0122,Scheduled Service,2024-09-14,2024-09-15,1,98781.05,EMP0400,In Progress,ST010,Awaiting spare parts
MNT00126,TR0115,Electrical Check,2023-09-14,2023-09-19,5,399849.7,EMP0312,Completed,ST035,Parts replaced
MNT00127,TR0031,Scheduled Service,2023-03-20,2023-04-08,19,434312.23,EMP0359,Completed,ST017,Parts replaced
MNT00128,TR0029,Engine Overhaul,2024-11-10,2024-11-29,19,350343.9,EMP0051,Deferred,ST015,All systems OK
MNT00129,TR0097,Engine Overhaul,2024-01-15,2024-02-10,26,234115.02,EMP0482,In Progress,ST039,Critical issue found
MNT00130,TR0177,Pantry Car Cleaning,2024-11-24,2024-12-24,30,108065.84,EMP0050,Completed,ST029,Awaiting spare parts
MNT00131,TR0092,Scheduled Service,2023-04-30,2023-05-23,23,423818.27,EMP0286,Cancelled,ST013,Critical issue found
MNT00132,TR0036,Pantry Car Cleaning,2024-03-31,2024-04-12,12,452707.16,EMP0209,Completed,ST036,Awaiting spare parts
MNT00133,TR0038,Brake Inspection,2024-10-09,2024-10-10,1,469196.07,EMP0345,Completed,ST067,Routine check completed
MNT00134,TR0081,Signaling Equipment,2023-10-09,2023-10-19,10,202477.73,EMP0043,Completed,ST027,Awaiting spare parts
MNT00135,TR0048,AC Servicing,2024-02-26,2024-03-27,30,213206.4,EMP0059,Completed,ST047,Routine check completed
MNT00136,TR0096,Scheduled Service,2023-11-25,2023-12-06,11,492190.85,EMP0010,Completed,ST056,All systems OK
MNT00137,TR0067,Wheel Replacement,2024-01-14,2024-02-11,28,301254.89,EMP0465,Scheduled,ST032,Routine check completed
MNT00138,TR0136,Wheel Replacement,2023-06-02,2023-06-14,12,265951.54,EMP0409,Completed,ST024,Parts replaced
MNT00139,TR0040,Scheduled Service,2023-07-11,2023-07-31,20,164851.71,EMP0329,Completed,ST001,Routine check completed
MNT00140,TR0113,Wheel Replacement,2023-10-31,2023-11-11,11,449760.34,EMP0212,Scheduled,ST064,Routine check completed
MNT00141,TR0186,Interior Refurbishment,2024-04-24,2024-05-24,30,26867.84,EMP0176,In Progress,ST008,Critical issue found
MNT00142,TR0189,Brake Inspection,2023-09-16,2023-10-03,17,327771.92,EMP0190,Completed,ST017,Critical issue found
MNT00143,TR0070,Electrical Check,2024-02-09,2024-02-15,6,119755.57,EMP0361,Completed,ST005,Parts replaced
MNT00144,TR0151,Wheel Replacement,2024-02-26,2024-03-16,19,11056.87,EMP0145,Completed,ST040,Awaiting spare parts
MNT00145,TR0041,Signaling Equipment,2024-11-05,2024-11-25,20,171342.53,EMP0315,Completed,ST054,Parts replaced
MNT00146,TR0114,Safety Audit,2024-02-21,2024-03-15,23,304430.26,EMP0287,In Progress,ST022,Critical issue found
MNT00147,TR0053,Signaling Equipment,2024-02-23,2024-02-28,5,392687.29,EMP0150,In Progress,ST051,Routine check completed
MNT00148,TR0161,Wheel Replacement,2023-11-04,2023-11-08,4,457676.42,EMP0197,Completed,ST053,Routine check completed
MNT00149,TR0067,Electrical Check,2024-03-05,2024-04-02,28,80866.15,EMP0145,Completed,ST005,Parts replaced
MNT00150,TR0170,Pantry Car Cleaning,2024-02-09,2024-03-01,21,141681.42,EMP0219,Scheduled,ST056,Awaiting spare parts
MNT00151,TR0005,AC Servicing,2023-08-12,2023-09-11,30,21450.76,EMP0274,Completed,ST065,Critical issue found
MNT00152,TR0117,Wheel Replacement,2024-06-06,2024-07-05,29,462962.02,EMP0192,Cancelled,ST033,Parts replaced
MNT00153,TR0021,Wheel Replacement,2024-05-13,2024-05-30,17,72731.06,EMP0101,Completed,ST064,Parts replaced
MNT00154,TR0036,Pantry Car Cleaning,2024-01-29,2024-02-14,16,321579.94,EMP0228,Deferred,ST001,Awaiting spare parts
MNT00155,TR0063,Wheel Replacement,2024-08-24,2024-09-07,14,492233.91,EMP0072,Cancelled,ST062,All systems OK
MNT00156,TR0175,Signaling Equipment,2023-11-27,2023-12-15,18,354064.45,EMP0392,Scheduled,ST034,Awaiting spare parts
MNT00157,TR0102,AC Servicing,2023-11-21,2023-11-24,3,440091.99,EMP0191,Scheduled,ST070,All systems OK
MNT00158,TR0095,Pantry Car Cleaning,2023-12-07,2023-12-30,23,135386.98,EMP0433,Completed,ST059,Awaiting spare parts
MNT00159,TR0057,Signaling Equipment,2024-04-25,2024-05-05,10,6013.81,EMP0127,Completed,ST052,Parts replaced
MNT00160,TR0170,Electrical Check,2024-12-21,2025-01-16,26,494889.2,EMP0168,Completed,ST006,Awaiting spare parts
MNT00161,TR0077,AC Servicing,2023-12-07,2023-12-13,6,20186.4,EMP0202,Cancelled,ST052,Critical issue found
MNT00162,TR0134,Brake Inspection,2023-08-28,2023-09-15,18,279881.84,EMP0147,Completed,ST057,Critical issue found
MNT00163,TR0165,Scheduled Service,2023-12-07,2023-12-19,12,67905.89,EMP0025,Scheduled,ST055,All systems OK
MNT00164,TR0161,Safety Audit,2024-04-04,2024-04-21,17,338918.4,EMP0289,Completed,ST028,Critical issue found
MNT00165,TR0147,Scheduled Service,2024-06-03,2024-06-14,11,20887.67,EMP0020,Completed,ST009,Routine check completed
MNT00166,TR0081,Interior Refurbishment,2024-08-11,2024-08-31,20,460907.6,EMP0128,Completed,ST011,Awaiting spare parts
MNT00167,TR0129,Interior Refurbishment,2023-08-27,2023-09-04,8,73009.58,EMP0348,Completed,ST055,Awaiting spare parts
MNT00168,TR0040,Interior Refurbishment,2024-03-04,2024-03-18,14,326707.54,EMP0485,Cancelled,ST061,All systems OK
MNT00169,TR0181,Brake Inspection,2023-09-09,2023-09-28,19,257752.92,EMP0250,In Progress,ST059,All systems OK
MNT00170,TR0141,Interior Refurbishment,2023-09-01,2023-09-07,6,271133.16,EMP0311,Completed,ST016,Routine check completed
MNT00171,TR0161,Pantry Car Cleaning,2023-11-13,2023-11-29,16,229928.19,EMP0077,Completed,ST023,All systems OK
MNT00172,TR0126,Electrical Check,2024-04-21,2024-04-30,9,210736.54,EMP0322,Completed,ST047,Awaiting spare parts
MNT00173,TR0081,AC Servicing,2024-11-25,2024-12-13,18,177462.35,EMP0161,Completed,ST011,Parts replaced
MNT00174,TR0188,Interior Refurbishment,2024-09-28,2024-10-25,27,476208.51,EMP0478,Scheduled,ST021,Critical issue found
MNT00175,TR0094,Interior Refurbishment,2024-09-15,2024-10-05,20,287184.33,EMP0245,Deferred,ST031,Routine check completed
MNT00176,TR0022,AC Servicing,2024-02-11,2024-02-29,18,23474.02,EMP0215,Cancelled,ST037,All systems OK
MNT00177,TR0116,Signaling Equipment,2023-04-15,2023-04-29,14,58951.53,EMP0176,Scheduled,ST075,All systems OK
MNT00178,TR0066,Interior Refurbishment,2023-01-08,2023-01-26,18,114283.12,EMP0205,Completed,ST040,Routine check completed
MNT00179,TR0078,Electrical Check,2023-01-08,2023-01-13,5,164558.86,EMP0438,In Progress,ST057,Critical issue found
MNT00180,TR0061,Brake Inspection,2023-07-03,2023-07-21,18,43702.68,EMP0318,Completed,ST007,Critical issue found
MNT00181,TR0017,Electrical Check,2024-12-21,2025-01-20,30,348155.04,EMP0069,Completed,ST015,Routine check completed
MNT00182,TR0185,Signaling Equipment,2024-10-25,2024-11-03,9,208254.76,EMP0321,Scheduled,ST030,All systems OK
MNT00183,TR0167,Interior Refurbishment,2024-09-26,2024-10-17,21,117719.8,EMP0398,Scheduled,ST002,Critical issue found
MNT00184,TR0106,Signaling Equipment,2024-07-25,2024-08-18,24,204964.72,EMP0137,Completed,ST025,Parts replaced
MNT00185,TR0062,Wheel Replacement,2024-04-26,2024-04-29,3,441414.77,EMP0268,Scheduled,ST065,Awaiting spare parts
MNT00186,TR0177,Safety Audit,2024-02-09,2024-02-23,14,320175.52,EMP0285,Cancelled,ST002,Awaiting spare parts
MNT00187,TR0140,Wheel Replacement,2023-06-16,2023-07-11,25,32765.68,EMP0041,Completed,ST025,Parts replaced
MNT00188,TR0108,Safety Audit,2024-01-17,2024-02-15,29,49115.96,EMP0105,Completed,ST024,Critical issue found
MNT00189,TR0136,Scheduled Service,2023-04-25,2023-05-13,18,342066.26,EMP0303,Completed,ST051,All systems OK
MNT00190,TR0073,Signaling Equipment,2023-12-28,2024-01-19,22,22880.4,EMP0254,In Progress,ST073,Parts replaced
MNT00191,TR0050,Wheel Replacement,2024-08-24,2024-09-02,9,48040.97,EMP0122,In Progress,ST023,Parts replaced
MNT00192,TR0197,Electrical Check,2024-11-13,2024-11-15,2,399323.4,EMP0431,Completed,ST038,Awaiting spare parts
MNT00193,TR0112,Safety Audit,2024-01-22,2024-01-30,8,95668.53,EMP0427,In Progress,ST005,Critical issue found
MNT00194,TR0156,AC Servicing,2024-01-25,2024-02-20,26,160817.89,EMP0156,Scheduled,ST029,Critical issue found
MNT00195,TR0056,Engine Overhaul,2023-01-06,2023-02-01,26,250558.28,EMP0079,Scheduled,ST044,Routine check completed
MNT00196,TR0119,Pantry Car Cleaning,2023-04-16,2023-04-29,13,242898.61,EMP0429,Scheduled,ST033,All systems OK
MNT00197,TR0175,AC Servicing,2023-11-14,2023-12-07,23,59571.66,EMP0091,Completed,ST005,Awaiting spare parts
MNT00198,TR0101,AC Servicing,2024-05-24,2024-06-21,28,237080.25,EMP0083,Completed,ST073,Parts replaced
MNT00199,TR0017,Signaling Equipment,2024-04-02,2024-04-25,23,293606.11,EMP0065,Completed,ST061,Critical issue found
MNT00200,TR0097,Electrical Check,2023-06-17,2023-07-01,14,292710.08,EMP0066,Scheduled,ST041,Awaiting spare parts
MNT00201,TR0137,Scheduled Service,2024-08-06,2024-08-13,7,190890.95,EMP0169,Completed,ST065,Critical issue found
MNT00202,TR0042,Scheduled Service,2024-01-29,2024-02-07,9,381038.97,EMP0112,Completed,ST063,Parts replaced
MNT00203,TR0033,Engine Overhaul,2024-07-21,2024-08-01,11,338898.6,EMP0172,Completed,ST014,Awaiting spare parts
MNT00204,TR0013,Wheel Replacement,2023-02-27,2023-03-18,19,370717.46,EMP0324,Completed,ST019,Routine check completed
MNT00205,TR0121,Scheduled Service,2024-11-29,2024-12-18,19,340134.26,EMP0088,In Progress,ST060,Parts replaced
MNT00206,TR0100,Engine Overhaul,2024-06-03,2024-06-06,3,472895.02,EMP0289,Completed,ST010,Awaiting spare parts
MNT00207,TR0197,Interior Refurbishment,2023-04-30,2023-05-04,4,81823.03,EMP0207,Scheduled,ST059,Critical issue found
MNT00208,TR0166,Interior Refurbishment,2023-08-30,2023-09-04,5,494505.13,EMP0429,In Progress,ST056,Routine check completed
MNT00209,TR0124,Wheel Replacement,2023-08-14,2023-08-27,13,455934.25,EMP0063,Deferred,ST005,All systems OK
MNT00210,TR0165,AC Servicing,2024-08-27,2024-09-01,5,169382.16,EMP0006,Completed,ST013,Critical issue found
MNT00211,TR0047,Safety Audit,2024-06-09,2024-07-09,30,414935.58,EMP0185,Completed,ST046,Parts replaced
MNT00212,TR0140,Brake Inspection,2023-10-06,2023-10-28,22,279051.35,EMP0100,In Progress,ST023,Routine check completed
MNT00213,TR0158,Scheduled Service,2024-09-15,2024-10-15,30,47909.16,EMP0300,Cancelled,ST031,Critical issue found
MNT00214,TR0053,Pantry Car Cleaning,2023-01-19,2023-01-21,2,492742.26,EMP0197,Completed,ST003,All systems OK
MNT00215,TR0185,Brake Inspection,2023-05-30,2023-06-02,3,212919.32,EMP0228,Completed,ST004,Routine check completed
MNT00216,TR0179,Signaling Equipment,2024-11-23,2024-12-15,22,315258.45,EMP0149,Completed,ST053,Awaiting spare parts
MNT00217,TR0185,Interior Refurbishment,2023-07-18,2023-08-05,18,141667.91,EMP0386,Scheduled,ST007,Parts replaced
MNT00218,TR0168,AC Servicing,2024-04-25,2024-04-29,4,450596.21,EMP0115,Completed,ST064,Routine check completed
MNT00219,TR0008,Safety Audit,2023-03-12,2023-03-13,1,147433.3,EMP0227,Completed,ST030,Critical issue found
MNT00220,TR0176,Pantry Car Cleaning,2024-04-27,2024-05-19,22,14293.82,EMP0204,Completed,ST055,Critical issue found
MNT00221,TR0045,AC Servicing,2024-12-04,2024-12-07,3,421678.94,EMP0229,Completed,ST074,Parts replaced
MNT00222,TR0025,Scheduled Service,2024-12-14,2025-01-01,18,490961.17,EMP0203,Scheduled,ST061,Awaiting spare parts
