ticket_id,schedule_id,passenger_id,class,route_id,fare,booking_date,seat_number,coach_number,ticket_status,concession_type
TK0000020,SCH00840,PAS001658,Sleeper,RT0050,1467.81,2024-05-01,C33,C06,Confirmed,Student
TK0000021,SCH00180,PAS003181,AC 3 Tier,RT0064,4779.27,2023-06-30,E50,C02,Waitlisted,Senior Citizen
TK0000022,SCH00265,PAS004534,Vistadome,RT0004,2019.11,2023-06-11,E46,C14,Cancelled,
TK0000023,SCH00171,PAS003010,General,RT0006,148.69,2023-11-21,B4,C13,RAC,Senior Citizen
TK0000024,SCH00798,PAS003805,First Class,RT0033,8209.87,2023-01-28,B29,C04,Waitlisted,
TK0000025,SCH00001,PAS004626,General,RT0025,867.85,2024-03-28,D27,C14,RAC,Military
TK0000026,SCH00132,PAS000699,AC 2 Tier,RT0039,2524.01,2024-07-01,D13,C15,Confirmed,
TK0000027,SCH00784,PAS000054,First Class,RT0137,10328.43,2024-01-14,D18,C14,RAC,Student
TK0000028,SCH00104,PAS002383,First Class,RT0061,1628.18,2023-02-21,E54,C10,Confirmed,
TK0000029,SCH00197,PAS003823,AC 2 Tier,RT0048,4248.5,2024-06-10,C30,C15,Cancelled,
TK0000030,SCH00855,PAS004667,Chair Car,RT0126,140.21,2024-04-07,B44,C19,Confirmed,
TK0000031,SCH00923,PAS003161,Sleeper,RT0058,908.9,2023-06-08,B43,C16,Waitlisted,
TK0000032,SCH00272,PAS000140,General,RT0091,208.47,2024-10-27,A44,C15,Waitlisted,Student
TK0000033,SCH00360,PAS000800,General,RT0098,413.17,2024-08-25,B10,C08,Confirmed,
TK0000034,SCH00933,PAS004025,AC 3 Tier,RT0087,2443.82,2023-07-15,D5,C03,Confirmed,Differently Abled
TK0000035,SCH00624,PAS002823,Chair Car,RT0059,1762.39,2024-11-06,E50,C10,Confirmed,
TK0000036,SCH00775,PAS004749,Chair Car,RT0005,909.38,2024-05-29,E48,C17,Confirmed,Senior Citizen
TK0000037,SCH00747,PAS003348,First Class,RT0014,4053.99,2024-09-14,B2,C19,Confirmed,
TK0000038,SCH00086,PAS004277,AC 3 Tier,RT0068,1980.3,2024-06-15,C53,C19,Confirmed,
TK0000039,SCH00446,PAS004321,Sleeper,RT0134,542.74,2024-06-28,E41,C08,Confirmed,
TK0000040,SCH00924,PAS002135,Sleeper,RT0109,1528.63,2024-06-14,B7,C18,Confirmed,
TK0000041,SCH00022,PAS003335,AC 2 Tier,RT0128,1240.49,2023-07-17,E41,C07,Confirmed,
TK0000042,SCH00747,PAS002473,General,RT0124,74.79,2023-10-01,B38,C11,Confirmed,Senior Citizen
TK0000043,SCH00574,PAS004827,Sleeper,RT0143,1163.36,2023-05-26,C34,C05,Confirmed,
TK0000044,SCH00928,PAS001686,AC 3 Tier,RT0027,547.45,2024-08-14,B22,C17,Confirmed,Senior Citizen
TK0000045,SCH00974,PAS004591,First Class,RT0101,3783.81,2023-08-25,B18,C01,Confirmed,
TK0000046,SCH00453,PAS002067,AC 2 Tier,RT0120,6941.2,2023-12-29,B55,C05,Confirmed,Student
TK0000047,SCH00411,PAS004228,Vistadome,RT0085,7446.5,2023-01-17,A27,C19,Confirmed,
TK0000048,SCH00074,PAS003780,Sleeper,RT0064,1433.13,2023-12-31,B41,C18,Confirmed,
TK0000049,SCH00466,PAS000239,Chair Car,RT0084,229.82,2023-09-30,A23,C15,Confirmed,
TK0000050,SCH00540,PAS000357,First Class,RT0107,6699.71,2023-10-26,E30,C17,Confirmed,
TK0000051,SCH00683,PAS002046,Sleeper,RT0046,1343.48,2023-05-25,A32,C18,Waitlisted,
TK0000052,SCH00622,PAS002345,General,RT0046,730.9,2023-05-04,B59,C09,Confirmed,
TK0000053,SCH00977,PAS004433,General,RT0031,334.99,2024-09-09,A43,C07,Cancelled,Student
TK0000054,SCH00317,PAS000884,First Class,RT0109,14197.78,2023-11-19,C20,C14,Confirmed,
TK0000055,SCH00106,PAS004741,Chair Car,RT0028,1581.99,2024-02-07,A19,C15,Cancelled,
TK0000056,SCH00677,PAS000652,Chair Car,RT0044,128.7,2023-02-18,E53,C08,Cancelled,
TK0000057,SCH00257,PAS002308,General,RT0003,143.96,2023-10-02,B30,C16,Confirmed,Military
TK0000058,SCH00502,PAS000862,AC 2 Tier,RT0099,5474.12,2023-09-29,C13,C20,Confirmed,
TK0000059,SCH00698,PAS003694,AC 2 Tier,RT0070,4117.71,2023-06-17,C1,C17,Confirmed,
TK0000060,SCH00813,PAS004407,General,RT0041,285.13,2024-03-08,A56,C13,Confirmed,
TK0000061,SCH00633,PAS003188,AC 2 Tier,RT0143,6668.85,2024-01-08,A10,C19,Confirmed,
TK0000062,SCH00330,PAS001039,Vistadome,RT0107,3566.91,2023-12-03,E29,C05,Confirmed,Military
TK0000063,SCH00244,PAS004507,First Class,RT0082,10896.72,2024-12-12,D3,C01,Confirmed,
TK0000064,SCH00557,PAS000211,Chair Car,RT0031,1384.21,2023-01-31,E33,C01,Confirmed,
TK0000065,SCH00001,PAS002722,AC 3 Tier,RT0117,1896.9,2024-02-06,E26,C17,Waitlisted,Senior Citizen
TK0000066,SCH00805,PAS001267,Sleeper,RT0049,705.7,2023-04-11,A4,C18,Confirmed,Student
TK0000067,SCH00585,PAS001394,AC 3 Tier,RT0053,2249.53,2023-12-06,E30,C13,Cancelled,
TK0000068,SCH00116,PAS003001,AC 2 Tier,RT0018,1328.42,2024-06-18,A38,C18,Confirmed,
TK0000069,SCH00798,PAS001040,First Class,RT0035,11963.92,2023-10-23,B54,C20,Confirmed,Student
TK0000070,SCH00159,PAS004577,First Class,RT0056,4178.24,2024-01-20,B20,C19,Confirmed,Military
TK0000071,SCH00206,PAS004583,General,RT0139,765.84,2024-06-03,C40,C11,Confirmed,
TK0000072,SCH00625,PAS001154,Vistadome,RT0059,5870.79,2024-12-22,C24,C17,Confirmed,
TK0000073,SCH00990,PAS001217,General,RT0057,122.37,2024-09-24,B42,C17,Waitlisted,
TK0000074,SCH00446,PAS000669,Chair Car,RT0007,804.43,2024-12-10,E32,C12,Confirmed,Senior Citizen
TK0000075,SCH00154,PAS004809,First Class,RT0023,4572.05,2024-03-25,E39,C02,RAC,Military
TK0000076,SCH00879,PAS004995,AC 2 Tier,RT0017,891.77,2024-08-24,E21,C06,Confirmed,
TK0000077,SCH00611,PAS004162,General,RT0025,634.45,2023-08-17,C60,C18,Confirmed,
TK0000078,SCH00976,PAS000992,First Class,RT0042,2926.95,2023-08-21,C51,C17,Confirmed,Senior Citizen
TK0000079,SCH00277,PAS004808,AC 2 Tier,RT0011,868.26,2024-10-26,E56,C06,Confirmed,
TK0000080,SCH00799,PAS004234,First Class,RT0089,8213.43,2023-09-08,A57,C16,Confirmed,Differently Abled
TK0000081,SCH00849,PAS000458,General,RT0006,152.82,2023-07-06,A6,C19,Cancelled,
TK0000082,SCH00216,PAS002637,First Class,RT0083,8468.2,2024-06-09,E9,C11,Confirmed,Student
TK0000083,SCH00715,PAS003061,Vistadome,RT0108,4551.59,2024-02-09,E18,C14,Waitlisted,Senior Citizen
TK0000084,SCH00002,PAS000852,AC 2 Tier,RT0144,5395.13,2024-11-14,B25,C05,Confirmed,
TK0000085,SCH00636,PAS002339,Vistadome,RT0124,839.36,2024-07-23,A9,C12,Confirmed,Senior Citizen
TK0000086,SCH00403,PAS003674,AC 3 Tier,RT0079,1332.59,2024-04-26,D4,C20,Cancelled,Student
TK0000087,SCH00485,PAS003970,AC 3 Tier,RT0074,1076.57,2023-04-23,D19,C15,Confirmed,Differently Abled
TK0000088,SCH00981,PAS000446,Chair Car,RT0137,1862.47,2024-12-07,D9,C18,Confirmed,Military
TK0000089,SCH00097,PAS000466,Sleeper,RT0107,736.42,2024-10-09,D20,C03,Confirmed,Student
TK0000090,SCH00911,PAS001103,Sleeper,RT0040,292.52,2024-09-08,A21,C19,Confirmed,
TK0000091,SCH00256,PAS001760,Vistadome,RT0111,3397.42,2023-09-12,B60,C17,Waitlisted,
TK0000092,SCH00981,PAS003681,AC 2 Tier,RT0092,3510.91,2024-04-05,C33,C14,Confirmed,Military
TK0000093,SCH00898,PAS004429,AC 2 Tier,RT0007,2685.05,2024-07-15,D49,C13,Confirmed,Differently Abled
TK0000094,SCH00489,PAS004302,AC 3 Tier,RT0103,2664.66,2023-01-19,E31,C04,Confirmed,
TK0000095,SCH00180,PAS002814,AC 2 Tier,RT0067,4730.29,2023-11-01,C22,C08,Confirmed,
TK0000096,SCH00522,PAS002861,AC 3 Tier,RT0150,1704.33,2023-03-01,E19,C10,Confirmed,
TK0000097,SCH00122,PAS002551,AC 2 Tier,RT0010,891.17,2024-04-20,D14,C07,Confirmed,
TK0000098,SCH00932,PAS002744,Chair Car,RT0028,2376.71,2024-11-02,E7,C19,Confirmed,
TK0000099,SCH00548,PAS003612,Vistadome,RT0094,5790.72,2024-03-23,C21,C19,Confirmed,
TK0000100,SCH00538,PAS000846,Chair Car,RT0049,1348.61,2024-05-22,B19,C03,Confirmed,Senior Citizen
TK0000101,SCH00868,PAS003785,Chair Car,RT0023,821.16,2024-05-23,A56,C04,Waitlisted,
TK0000102,SCH00714,PAS003775,AC 2 Tier,RT0050,5549.56,2023-08-24,C35,C20,RAC,Student
TK0000103,SCH00533,PAS002719,General,RT0040,169.7,2023-12-17,C15,C14,Confirmed,
TK0000104,SCH00259,PAS004952,AC 3 Tier,RT0079,1379.72,2023-07-04,D45,C17,Confirmed,
TK0000105,SCH00518,PAS003424,Sleeper,RT0101,392.36,2023-09-09,A45,C17,Confirmed,Student
TK0000106,SCH00393,PAS002516,Chair Car,RT0081,2501.49,2023-11-08,A35,C10,Confirmed,Student
TK0000107,SCH00425,PAS002606,AC 3 Tier,RT0018,976.02,2024-10-05,D54,C19,Waitlisted,Senior Citizen
TK0000108,SCH00029,PAS002632,AC 3 Tier,RT0017,435.62,2024-04-22,D2,C12,Confirmed,Student
TK0000109,SCH00307,PAS000509,AC 3 Tier,RT0137,3867.51,2023-07-24,C60,C11,Confirmed,
TK0000110,SCH00992,PAS003620,First Class,RT0147,4519.14,2023-11-10,E56,C04,Confirmed,
TK0000111,SCH00093,PAS001861,Sleeper,RT0127,582.14,2023-06-27,D56,C07,Confirmed,
TK0000112,SCH00707,PAS001981,AC 2 Tier,RT0149,1184.82,2023-10-19,A11,C08,Waitlisted,Differently Abled
TK0000113,SCH00336,PAS004776,Chair Car,RT0045,405.41,2023-03-14,C45,C17,Confirmed,Senior Citizen
TK0000114,SCH00296,PAS002847,AC 2 Tier,RT0128,1094.44,2024-11-07,A50,C13,RAC,Student
TK0000115,SCH00477,PAS002212,Vistadome,RT0054,684.26,2023-12-13,C39,C05,Confirmed,
TK0000116,SCH00138,PAS004062,Chair Car,RT0015,1899.43,2024-10-17,A30,C09,Confirmed,Differently Abled
TK0000117,SCH00133,PAS004299,Chair Car,RT0020,1401.91,2023-05-29,D1,C16,Confirmed,Student
TK0000118,SCH00281,PAS001703,AC 3 Tier,RT0072,3981.31,2023-12-12,A12,C13,RAC,
TK0000119,SCH00742,PAS003004,First Class,RT0072,9134.96,2023-07-03,D41,C06,Confirmed,
TK0000120,SCH00966,PAS004058,Sleeper,RT0044,61.4,2023-07-31,A24,C03,Confirmed,Senior Citizen
TK0000121,SCH00745,PAS001866,AC 2 Tier,RT0025,6553.2,2023-07-31,B43,C13,Cancelled,
TK0000122,SCH00270,PAS002556,General,RT0094,568,2023-07-30,A41,C05,Waitlisted,Differently Abled
TK0000123,SCH00342,PAS002354,Chair Car,RT0121,1130.3,2023-12-19,B17,C02,Cancelled,Military
TK0000124,SCH00956,PAS002951,Vistadome,RT0061,659.5,2024-03-12,D58,C03,RAC,Differently Abled
TK0000125,SCH00628,PAS000140,Sleeper,RT0069,386.23,2023-05-31,E59,C20,Confirmed,
TK0000126,SCH00650,PAS001353,AC 3 Tier,RT0069,865.39,2023-10-04,D3,C12,Confirmed,Student
TK0000127,SCH00681,PAS001848,AC 3 Tier,RT0086,2022.6,2023-09-09,C26,C08,Confirmed,
TK0000128,SCH00065,PAS004308,Vistadome,RT0040,1436.26,2023-12-31,B40,C19,Waitlisted,
TK0000129,SCH00810,PAS003192,General,RT0144,554.78,2024-04-11,C46,C12,Confirmed,Differently Abled
TK0000130,SCH00846,PAS001659,General,RT0001,248.23,2023-08-27,B26,C13,Confirmed,Senior Citizen
TK0000131,SCH00011,PAS002491,AC 2 Tier,RT0117,3857.4,2024-04-15,C2,C04,Confirmed,
TK0000132,SCH00342,PAS003379,Chair Car,RT0101,570.47,2024-02-28,C34,C20,Waitlisted,Senior Citizen
TK0000133,SCH00766,PAS000319,Chair Car,RT0102,2292.31,2024-08-09,D56,C19,Confirmed,Student
TK0000134,SCH00729,PAS001091,AC 3 Tier,RT0052,1970.23,2023-03-22,B3,C09,Confirmed,
TK0000135,SCH00245,PAS000525,General,RT0027,102.89,2023-10-13,D55,C19,Confirmed,Student
TK0000136,SCH00757,PAS002018,First Class,RT0062,3661.53,2024-09-16,A49,C03,Waitlisted,Differently Abled
TK0000137,SCH00151,PAS000405,Vistadome,RT0040,1430.29,2023-07-03,A9,C05,Confirmed,
TK0000138,SCH00696,PAS000989,AC 2 Tier,RT0001,2603.39,2024-04-08,B41,C10,Cancelled,
TK0000139,SCH00150,PAS002141,Chair Car,RT0040,491.4,2023-03-14,B2,C05,Confirmed,
TK0000140,SCH00720,PAS000457,Sleeper,RT0007,419.89,2024-07-16,B29,C17,Cancelled,
TK0000141,SCH00676,PAS001320,AC 2 Tier,RT0061,903.83,2023-10-30,E54,C16,Confirmed,Senior Citizen
TK0000142,SCH00239,PAS002750,AC 3 Tier,RT0042,976.89,2023-09-26,D8,C16,RAC,
TK0000143,SCH00288,PAS004256,AC 2 Tier,RT0105,4717.68,2024-12-02,D19,C02,Cancelled,
TK0000144,SCH00990,PAS004884,Vistadome,RT0117,2739.28,2024-02-02,C14,C13,Confirmed,
TK0000145,SCH00566,PAS001551,Sleeper,RT0120,1204.23,2023-07-12,A26,C08,Cancelled,
TK0000146,SCH00057,PAS001056,First Class,RT0049,9167.4,2023-05-03,C28,C16,Waitlisted,
TK0000147,SCH00071,PAS004014,Chair Car,RT0051,2002.94,2023-11-22,E10,C10,Confirmed,
TK0000148,SCH00559,PAS004688,First Class,RT0116,9557.87,2023-08-08,B35,C06,Confirmed,
TK0000149,SCH00515,PAS001280,Sleeper,RT0072,1330.87,2024-07-13,E11,C06,Confirmed,
TK0000150,SCH00543,PAS001828,AC 3 Tier,RT0134,1600.37,2024-02-10,A13,C17,Cancelled,
TK0000151,SCH00740,PAS001339,AC 3 Tier,RT0087,2321.14,2024-03-27,A25,C05,Confirmed,
TK0000152,SCH00595,PAS002387,Vistadome,RT0011,755.13,2023-08-18,A18,C10,Confirmed,
TK0000153,SCH00947,PAS001315,AC 3 Tier,RT0040,822.13,2024-03-12,C25,C15,Confirmed,
TK0000154,SCH00844,PAS004648,AC 3 Tier,RT0148,603.31,2023-11-08,C3,C09,Confirmed,
TK0000155,SCH00989,PAS001550,AC 3 Tier,RT0118,1426.03,2023-01-01,C60,C07,Cancelled,
TK0000156,SCH00832,PAS001920,AC 3 Tier,RT0134,1411.46,2023-07-16,E24,C20,Confirmed,Military
TK0000157,SCH00949,PAS004993,Sleeper,RT0088,995.95,2023-11-10,A38,C09,Confirmed,
TK0000158,SCH00585,PAS002831,Sleeper,RT0131,911.91,2024-12-12,B23,C16,Confirmed,
TK0000159,SCH00715,PAS001566,Sleeper,RT0002,1179.28,2023-10-20,E27,C03,Confirmed,Senior Citizen
TK0000160,SCH00311,PAS004121,Vistadome,RT0077,5309.13,2023-09-12,D19,C15,Waitlisted,Student
TK0000161,SCH00173,PAS000803,AC 2 Tier,RT0141,1501.89,2024-10-14,C42,C13,Cancelled,
TK0000162,SCH00654,PAS003122,General,RT0035,732.36,2024-04-17,B30,C01,Waitlisted,
TK0000163,SCH00134,PAS003023,Vistadome,RT0068,2924.98,2023-09-29,A51,C04,Waitlisted,
TK0000164,SCH00769,PAS003015,AC 2 Tier,RT0106,3676.42,2024-03-01,C5,C05,Confirmed,
TK0000165,SCH00431,PAS004157,Sleeper,RT0146,1673.45,2024-05-20,A48,C11,Confirmed,
TK0000166,SCH00037,PAS002035,AC 3 Tier,RT0109,4782.94,2023-08-15,B54,C10,Waitlisted,
TK0000167,SCH00204,PAS001277,Sleeper,RT0111,629.05,2024-10-21,B9,C14,Confirmed,
TK0000168,SCH00226,PAS002445,Vistadome,RT0016,2065.94,2023-01-27,B31,C03,Confirmed,Military
TK0000169,SCH00729,PAS002184,AC 3 Tier,RT0031,1477.4,2024-03-04,A22,C14,Confirmed,Senior Citizen
TK0000170,SCH00031,PAS002992,AC 3 Tier,RT0020,3201.91,2023-05-07,B11,C12,Confirmed,Student
TK0000171,SCH00412,PAS002259,General,RT0114,267.86,2023-05-20,E30,C02,Confirmed,Senior Citizen
TK0000172,SCH00685,PAS003124,AC 2 Tier,RT0073,511.01,2023-03-26,D41,C08,Confirmed,Differently Abled
TK0000173,SCH00755,PAS000246,First Class,RT0135,3434.23,2023-03-14,A47,C03,Waitlisted,
TK0000174,SCH00302,PAS002376,General,RT0003,124.82,2023-04-20,E41,C10,Cancelled,
TK0000175,SCH00757,PAS004172,First Class,RT0079,4204.37,2023-01-29,A2,C09,Confirmed,
TK0000176,SCH00056,PAS000506,First Class,RT0044,609.14,2024-01-24,A47,C10,Cancelled,
TK0000177,SCH00032,PAS002321,General,RT0054,71.52,2024-05-02,D19,C02,Cancelled,
TK0000178,SCH00076,PAS000484,First Class,RT0011,1442.24,2023-06-20,C44,C07,Confirmed,Student
TK0000179,SCH00380,PAS000077,AC 3 Tier,RT0023,1535.4,2023-11-30,E33,C15,Confirmed,
TK0000180,SCH00426,PAS000127,Vistadome,RT0111,2679.6,2023-03-05,C42,C04,Confirmed,
TK0000181,SCH00234,PAS002831,Sleeper,RT0086,772.81,2024-04-12,E23,C04,Confirmed,
TK0000182,SCH00469,PAS003885,Sleeper,RT0040,277.23,2024-04-25,B35,C13,Confirmed,Differently Abled
TK0000183,SCH00126,PAS000963,Sleeper,RT0112,1014.47,2023-10-25,D55,C04,Confirmed,Student
TK0000184,SCH00632,PAS001580,AC 2 Tier,RT0029,3677.85,2023-10-23,A42,C14,RAC,
TK0000185,SCH00261,PAS004088,AC 3 Tier,RT0082,3362.62,2024-08-26,A55,C02,Confirmed,
TK0000186,SCH00077,PAS001532,AC 3 Tier,RT0002,3079.27,2023-02-13,C47,C02,Confirmed,Differently Abled
TK0000187,SCH00329,PAS001449,AC 2 Tier,RT0006,1567.33,2023-12-29,D47,C02,Waitlisted,
TK0000188,SCH00608,PAS001052,AC 2 Tier,RT0059,6505.24,2024-05-03,D3,C04,Confirmed,Military
TK0000189,SCH00597,PAS004712,AC 3 Tier,RT0020,3318.82,2023-02-23,E7,C09,Waitlisted,
TK0000190,SCH00610,PAS004138,Sleeper,RT0043,1614.16,2024-07-05,E29,C04,RAC,
TK0000191,SCH00678,PAS001514,General,RT0134,264.74,2024-04-01,C47,C03,Confirmed,
TK0000192,SCH00926,PAS002105,General,RT0039,256.38,2023-09-09,C41,C07,Confirmed,
TK0000193,SCH00046,PAS001218,First Class,RT0110,3711.89,2023-01-21,B31,C08,Confirmed,Senior Citizen
TK0000194,SCH00641,PAS004877,Vistadome,RT0101,1715.7,2024-09-25,C36,C03,Cancelled,
TK0000195,SCH00072,PAS001402,General,RT0035,743.44,2024-07-12,D10,C09,Confirmed,Senior Citizen
TK0000196,SCH00505,PAS003857,First Class,RT0133,4075.13,2023-03-29,D30,C15,Confirmed,
TK0000197,SCH00004,PAS004184,Chair Car,RT0035,1995.86,2023-09-09,A33,C20,Waitlisted,Senior Citizen
TK0000198,SCH00086,PAS001794,AC 3 Tier,RT0025,4680.51,2024-01-07,D37,C06,Confirmed,
TK0000199,SCH00255,PAS003542,First Class,RT0022,11135.26,2023-11-03,D42,C06,Confirmed,
TK0000200,SCH00998,PAS001238,General,RT0084,100.11,2023-01-06,B25,C13,Confirmed,Senior Citizen
TK0000201,SCH00939,PAS003429,General,RT0109,879.91,2023-01-26,A55,C01,Confirmed,
TK0000202,SCH00246,PAS000221,Chair Car,RT0146,2045.83,2024-04-05,D26,C16,Confirmed,
TK0000203,SCH00794,PAS004331,First Class,RT0059,11979.65,2024-11-05,B14,C19,Confirmed,Differently Abled
TK0000204,SCH00046,PAS003205,First Class,RT0104,11438.11,2023-01-24,D28,C01,Waitlisted,
TK0000205,SCH00021,PAS004311,Chair Car,RT0007,927.55,2023-03-02,C54,C02,Confirmed,
TK0000206,SCH00224,PAS000353,First Class,RT0048,7656.56,2024-12-13,E49,C17,Waitlisted,
TK0000207,SCH01000,PAS003038,First Class,RT0076,2929.57,2024-08-12,A38,C19,Waitlisted,Student
TK0000208,SCH00865,PAS001039,AC 2 Tier,RT0055,5336.22,2024-08-11,D4,C12,Confirmed,
TK0000209,SCH00651,PAS004788,General,RT0011,77.73,2023-11-13,A38,C04,Waitlisted,
TK0000210,SCH00760,PAS002544,General,RT0138,288.95,2024-11-29,D34,C09,Confirmed,
TK0000211,SCH00858,PAS000768,First Class,RT0114,4458.12,2023-01-04,A8,C16,Confirmed,
TK0000212,SCH00024,PAS000333,AC 2 Tier,RT0049,4961.58,2023-01-07,C42,C07,Waitlisted,
TK0000213,SCH00839,PAS003652,AC 2 Tier,RT0034,6795.78,2023-06-27,E21,C02,Waitlisted,
TK0000214,SCH00573,PAS003225,Sleeper,RT0051,1508.23,2023-07-13,A14,C14,Confirmed,
TK0000215,SCH00453,PAS002950,First Class,RT0121,8222.26,2023-02-24,B50,C11,Cancelled,Military
TK0000216,SCH00255,PAS002120,Chair Car,RT0127,863.08,2023-07-13,E60,C05,Confirmed,
TK0000217,SCH00175,PAS000465,First Class,RT0140,2401.36,2023-07-03,A14,C16,Confirmed,Student
TK0000218,SCH00119,PAS000026,AC 3 Tier,RT0037,491.97,2023-09-07,A33,C05,Waitlisted,
TK0000219,SCH00100,PAS003318,Sleeper,RT0007,538.76,2023-09-25,C32,C17,Confirmed,Student
TK0000220,SCH00117,PAS003282,First Class,RT0022,9915.09,2023-06-04,D57,C13,Confirmed,
TK0000221,SCH00614,PAS000394,AC 2 Tier,RT0058,4349.03,2024-12-16,C48,C13,Waitlisted,
TK0000222,SCH00663,PAS001158,AC 3 Tier,RT0044,219.22,2024-02-12,D9,C14,Confirmed,
TK0000223,SCH00800,PAS000309,AC 3 Tier,RT0098,1532.53,2023-12-16,B34,C10,Cancelled,
TK0000224,SCH00739,PAS002713,General,RT0037,96.11,2023-08-18,E38,C11,Confirmed,
TK0000225,SCH00411,PAS002050,Vistadome,RT0148,980.08,2023-07-21,B43,C19,Confirmed,
TK0000226,SCH00195,PAS004969,Sleeper,RT0137,1012.69,2024-01-28,B35,C10,Confirmed,
TK0000227,SCH00804,PAS002489,AC 2 Tier,RT0066,2864.92,2024-02-29,B43,C15,Cancelled,
TK0000228,SCH00660,PAS000304,General,RT0016,237.61,2024-09-28,D22,C08,Waitlisted,
TK0000229,SCH00314,PAS003628,First Class,RT0056,3686.39,2024-09-16,B42,C09,Confirmed,
TK0000230,SCH00014,PAS001299,AC 2 Tier,RT0043,6937.62,2024-02-05,E60,C11,Confirmed,
TK0000231,SCH00410,PAS000643,AC 2 Tier,RT0018,1629.16,2023-06-07,B8,C14,Confirmed,Senior Citizen
TK0000232,SCH00841,PAS004285,General,RT0105,355.89,2024-08-03,A25,C14,Cancelled,
TK0000233,SCH00637,PAS003652,General,RT0041,372.14,2023-12-19,B48,C12,Waitlisted,
TK0000234,SCH00134,PAS004724,AC 3 Tier,RT0143,3922.94,2023-12-01,C45,C02,Confirmed,
TK0000235,SCH00302,PAS002759,Sleeper,RT0060,1437.4,2024-10-03,E26,C07,Confirmed,Military
TK0000236,SCH00765,PAS002079,First Class,RT0100,7059.57,2024-02-12,A34,C04,RAC,
TK0000237,SCH00544,PAS003206,Sleeper,RT0036,142.22,2023-02-09,D51,C11,RAC,
TK0000238,SCH00570,PAS001827,Vistadome,RT0020,3978.56,2024-12-24,B2,C16,Confirmed,Military
TK0000239,SCH00818,PAS000856,General,RT0011,91.28,2023-04-29,E45,C16,Confirmed,Military
TK0000240,SCH00078,PAS002941,Sleeper,RT0132,1611.77,2024-05-12,B59,C08,Cancelled,
TK0000241,SCH00327,PAS000578,AC 3 Tier,RT0136,2019.01,2024-09-12,C23,C09,Waitlisted,
TK0000242,SCH00205,PAS004065,General,RT0134,220.85,2023-09-03,D49,C10,Confirmed,
TK0000243,SCH00469,PAS002528,AC 3 Tier,RT0135,1599.46,2024-03-20,A53,C07,Confirmed,Student
TK0000244,SCH00061,PAS000455,First Class,RT0131,6701.89,2023-10-06,D56,C11,Confirmed,
TK0000245,SCH00329,PAS001558,Chair Car,RT0082,2248.81,2024-04-12,D46,C02,Confirmed,
TK0000246,SCH00464,PAS001712,AC 3 Tier,RT0100,1710.66,2023-04-18,B17,C16,Confirmed,Differently Abled
TK0000247,SCH00783,PAS000764,Vistadome,RT0112,5339.66,2024-03-29,B40,C11,Confirmed,Senior Citizen
TK0000248,SCH00657,PAS002255,General,RT0041,413.3,2023-03-28,C42,C08,Confirmed,
TK0000249,SCH00077,PAS003635,General,RT0042,190.75,2023-02-05,C48,C16,Confirmed,
TK0000250,SCH00397,PAS000560,AC 2 Tier,RT0101,1336.83,2023-12-06,D43,C09,Waitlisted,
TK0000251,SCH00314,PAS000211,Chair Car,RT0016,623.03,2023-07-30,E10,C11,Confirmed,
