booking_id,ticket_id,booking_date,booking_channel,base_fare,convenience_fee,total_amount,booking_status,pnr_number
BK0000023,TK0000023,2023-11-21,Online,148.69,16.19,164.88,Cancelled,PNR3786416276
BK0000024,TK0000024,2023-01-28,Online,8209.87,17.41,8227.28,Cancelled,PNR9088524124
BK0000025,TK0000025,2024-03-28,Mobile App,867.85,35.5,903.35,Confirmed,PNR2068200887
BK0000026,TK0000026,2024-07-01,Counter,2524.01,0,2524.01,Confirmed,PNR5001587991
BK0000027,TK0000027,2024-01-14,Agent,10328.43,0,10328.43,Confirmed,PNR4990628897
BK0000028,TK0000028,2023-02-21,Counter,1628.18,0,1628.18,Cancelled,PNR3040886056
BK0000029,TK0000029,2024-06-10,Agent,4248.5,0,4248.5,Cancelled,PNR9055670822
BK0000030,TK0000030,2024-04-07,Agent,140.21,0,140.21,Confirmed,PNR2840765299
BK0000031,TK0000031,2023-06-08,Mobile App,908.9,15.55,924.45,Confirmed,PNR6411888532
BK0000032,TK0000032,2024-10-27,Mobile App,208.47,38.43,246.9,Confirmed,PNR9767774521
BK0000033,TK0000033,2024-08-25,Agent,413.17,0,413.17,Confirmed,PNR2662605231
BK0000034,TK0000034,2023-07-15,Counter,2443.82,0,2443.82,Cancelled,PNR1436306289
BK0000035,TK0000035,2024-11-06,Agent,1762.39,0,1762.39,Confirmed,PNR1825204850
BK0000036,TK0000036,2024-05-29,Mobile App,909.38,12.34,921.72,Cancelled,PNR3587862030
BK0000037,TK0000037,2024-09-14,Agent,4053.99,0,4053.99,Confirmed,PNR7286576101
BK0000038,TK0000038,2024-06-15,Counter,1980.3,0,1980.3,Pending,PNR7604131255
BK0000039,TK0000039,2024-06-28,Agent,542.74,0,542.74,Cancelled,PNR5861922184
BK0000040,TK0000040,2024-06-14,Counter,1528.63,0,1528.63,Confirmed,PNR6903712362
BK0000041,TK0000041,2023-07-17,Online,1240.49,20.91,1261.4,Confirmed,PNR1643067177
BK0000042,TK0000042,2023-10-01,Mobile App,74.79,12.61,87.4,Confirmed,PNR9967594325
BK0000043,TK0000043,2023-05-26,Agent,1163.36,0,1163.36,Confirmed,PNR3505032702
BK0000044,TK0000044,2024-08-14,IRCTC,547.45,36.81,584.26,Confirmed,PNR5952648399
BK0000045,TK0000045,2023-08-25,Online,3783.81,30.84,3814.65,Confirmed,PNR9996040555
BK0000046,TK0000046,2023-12-29,Online,6941.2,11.31,6952.51,Cancelled,PNR4396279378
BK0000047,TK0000047,2023-01-17,Agent,7446.5,0,7446.5,Confirmed,PNR7484114332
BK0000048,TK0000048,2023-12-31,Online,1433.13,34.98,1468.11,Pending,PNR9691698281
BK0000049,TK0000049,2023-09-30,Counter,229.82,0,229.82,Cancelled,PNR8261379493
BK0000050,TK0000050,2023-10-26,Online,6699.71,33.15,6732.86,Confirmed,PNR3052457290
BK0000051,TK0000051,2023-05-25,IRCTC,1343.48,19.67,1363.15,Confirmed,PNR4057197298
BK0000052,TK0000052,2023-05-04,Agent,730.9,0,730.9,Confirmed,PNR7629279690
BK0000053,TK0000053,2024-09-09,Agent,334.99,0,334.99,Pending,PNR3633973800
BK0000054,TK0000054,2023-11-19,IRCTC,14197.78,40.36,14238.14,Confirmed,PNR8735253518
BK0000055,TK0000055,2024-02-07,IRCTC,1581.99,35.04,1617.03,Confirmed,PNR2441437473
BK0000056,TK0000056,2023-02-18,Counter,128.7,0,128.7,Confirmed,PNR1097689202
BK0000057,TK0000057,2023-10-02,IRCTC,143.96,36.12,180.08,Pending,PNR7129031097
BK0000058,TK0000058,2023-09-29,Agent,5474.12,0,5474.12,Confirmed,PNR8841083550
BK0000059,TK0000059,2023-06-17,Mobile App,4117.71,36.44,4154.15,Confirmed,PNR2566803613
BK0000060,TK0000060,2024-03-08,Online,285.13,45.3,330.43,Confirmed,PNR2791662458
BK0000061,TK0000061,2024-01-08,Mobile App,6668.85,41.77,6710.62,Confirmed,PNR2344756895
BK0000062,TK0000062,2023-12-03,Online,3566.91,19.98,3586.89,Confirmed,PNR1217889235
BK0000063,TK0000063,2024-12-12,Counter,10896.72,0,10896.72,Confirmed,PNR3794250364
BK0000064,TK0000064,2023-01-31,Agent,1384.21,0,1384.21,Confirmed,PNR9799963299
BK0000065,TK0000065,2024-02-06,Mobile App,1896.9,17.15,1914.05,Confirmed,PNR5308247474
BK0000066,TK0000066,2023-04-11,Agent,705.7,0,705.7,Confirmed,PNR9553973506
BK0000067,TK0000067,2023-12-06,Mobile App,2249.53,23.13,2272.66,Confirmed,PNR2621282139
BK0000068,TK0000068,2024-06-18,IRCTC,1328.42,47.29,1375.71,Pending,PNR3372056495
BK0000069,TK0000069,2023-10-23,Counter,11963.92,0,11963.92,Confirmed,PNR5394265387
BK0000070,TK0000070,2024-01-20,Agent,4178.24,0,4178.24,Confirmed,PNR6689867770
BK0000071,TK0000071,2024-06-03,Mobile App,765.84,34.45,800.29,Confirmed,PNR5765315796
BK0000072,TK0000072,2024-12-22,Mobile App,5870.79,33.28,5904.07,Confirmed,PNR5969063219
BK0000073,TK0000073,2024-09-24,Online,122.37,24.22,146.59,Pending,PNR9037230441
BK0000074,TK0000074,2024-12-10,Mobile App,804.43,40.92,845.35,Confirmed,PNR6125727158
BK0000075,TK0000075,2024-03-25,Agent,4572.05,0,4572.05,Confirmed,PNR9307115030
BK0000076,TK0000076,2024-08-24,IRCTC,891.77,21.64,913.41,Confirmed,PNR7608328393
BK0000077,TK0000077,2023-08-17,Agent,634.45,0,634.45,Confirmed,PNR8692804404
BK0000078,TK0000078,2023-08-21,Online,2926.95,19.69,2946.64,Confirmed,PNR8923644365
BK0000079,TK0000079,2024-10-26,Online,868.26,43.05,911.31,Cancelled,PNR8883399098
BK0000080,TK0000080,2023-09-08,Counter,8213.43,0,8213.43,Cancelled,PNR8595894097
BK0000081,TK0000081,2023-07-06,Counter,152.82,0,152.82,Confirmed,PNR2068143370
BK0000082,TK0000082,2024-06-09,Mobile App,8468.2,26.2,8494.4,Confirmed,PNR4557664436
BK0000083,TK0000083,2024-02-09,Mobile App,4551.59,17.03,4568.62,Confirmed,PNR2940296483
BK0000084,TK0000084,2024-11-14,IRCTC,5395.13,16.93,5412.06,Confirmed,PNR2104552016
BK0000085,TK0000085,2024-07-23,Agent,839.36,0,839.36,Cancelled,PNR9082368485
BK0000086,TK0000086,2024-04-26,Mobile App,1332.59,49.18,1381.77,Confirmed,PNR1154367781
BK0000087,TK0000087,2023-04-23,IRCTC,1076.57,48.93,1125.5,Confirmed,PNR2888436665
BK0000088,TK0000088,2024-12-07,Online,1862.47,46.04,1908.51,Confirmed,PNR4763532729
BK0000089,TK0000089,2024-10-09,Counter,736.42,0,736.42,Confirmed,PNR8444828949
BK0000090,TK0000090,2024-09-08,Online,292.52,21.44,313.96,Confirmed,PNR2485556107
BK0000091,TK0000091,2023-09-12,Mobile App,3397.42,24.11,3421.53,Confirmed,PNR2521014327
BK0000092,TK0000092,2024-04-05,Mobile App,3510.91,39.68,3550.59,Confirmed,PNR4359746012
BK0000093,TK0000093,2024-07-15,Counter,2685.05,0,2685.05,Confirmed,PNR2008532786
BK0000094,TK0000094,2023-01-19,Agent,2664.66,0,2664.66,Confirmed,PNR8651994270
BK0000095,TK0000095,2023-11-01,Agent,4730.29,0,4730.29,Confirmed,PNR4538061359
BK0000096,TK0000096,2023-03-01,Agent,1704.33,0,1704.33,Confirmed,PNR7192205094
BK0000097,TK0000097,2024-04-20,IRCTC,891.17,37.17,928.34,Confirmed,PNR2309019830
BK0000098,TK0000098,2024-11-02,Mobile App,2376.71,31.91,2408.62,Cancelled,PNR8114638498
BK0000099,TK0000099,2024-03-23,Mobile App,5790.72,14.31,5805.03,Confirmed,PNR8016951495
BK0000100,TK0000100,2024-05-22,Online,1348.61,14.33,1362.94,Confirmed,PNR9385039334
BK0000101,TK0000101,2024-05-23,Online,821.16,25.24,846.4,Confirmed,PNR8841429018
BK0000102,TK0000102,2023-08-24,Mobile App,5549.56,42.94,5592.5,Confirmed,PNR4611032318
BK0000103,TK0000103,2023-12-17,Mobile App,169.7,21.31,191.01,Confirmed,PNR9684033622
BK0000104,TK0000104,2023-07-04,IRCTC,1379.72,48.09,1427.81,Confirmed,PNR6772815444
BK0000105,TK0000105,2023-09-09,Agent,392.36,0,392.36,Confirmed,PNR4455029377
BK0000106,TK0000106,2023-11-08,Mobile App,2501.49,27.97,2529.46,Confirmed,PNR9511230042
BK0000107,TK0000107,2024-10-05,Online,976.02,31.21,1007.23,Confirmed,PNR6385246519
BK0000108,TK0000108,2024-04-22,Online,435.62,48.64,484.26,Confirmed,PNR7866996219
BK0000109,TK0000109,2023-07-24,Counter,3867.51,0,3867.51,Confirmed,PNR1062279849
BK0000110,TK0000110,2023-11-10,Online,4519.14,25.57,4544.71,Cancelled,PNR7617940530
BK0000111,TK0000111,2023-06-27,Online,582.14,12.29,594.43,Cancelled,PNR9428339809
BK0000112,TK0000112,2023-10-19,IRCTC,1184.82,40.13,1224.95,Confirmed,PNR4761750498
BK0000113,TK0000113,2023-03-14,Online,405.41,34.69,440.1,Confirmed,PNR5559611469
BK0000114,TK0000114,2024-11-07,Mobile App,1094.44,15.57,1110.01,Confirmed,PNR8161667189
BK0000115,TK0000115,2023-12-13,Online,684.26,31.73,715.99,Confirmed,PNR4683628051
BK0000116,TK0000116,2024-10-17,IRCTC,1899.43,24.17,1923.6,Confirmed,PNR8364086155
BK0000117,TK0000117,2023-05-29,Mobile App,1401.91,29.98,1431.89,Confirmed,PNR6434186057
BK0000118,TK0000118,2023-12-12,Counter,3981.31,0,3981.31,Cancelled,PNR6358435840
BK0000119,TK0000119,2023-07-03,Mobile App,9134.96,11.14,9146.1,Pending,PNR9020516487
BK0000120,TK0000120,2023-07-31,Online,61.4,12.3,73.7,Confirmed,PNR1876664483
BK0000121,TK0000121,2023-07-31,Counter,6553.2,0,6553.2,Confirmed,PNR6504763615
BK0000122,TK0000122,2023-07-30,Agent,568,0,568,Cancelled,PNR1646525463
BK0000123,TK0000123,2023-12-19,Counter,1130.3,0,1130.3,Confirmed,PNR3666274653
BK0000124,TK0000124,2024-03-12,Online,659.5,37.63,697.13,Confirmed,PNR4477937210
BK0000125,TK0000125,2023-05-31,Agent,386.23,0,386.23,Confirmed,PNR9549276773
BK0000126,TK0000126,2023-10-04,Counter,865.39,0,865.39,Confirmed,PNR9685880645
BK0000127,TK0000127,2023-09-09,Mobile App,2022.6,20.51,2043.11,Confirmed,PNR4014630602
BK0000128,TK0000128,2023-12-31,IRCTC,1436.26,22.1,1458.36,Confirmed,PNR2399798238
BK0000129,TK0000129,2024-04-11,Agent,554.78,0,554.78,Cancelled,PNR8347333605
BK0000130,TK0000130,2023-08-27,Agent,248.23,0,248.23,Confirmed,PNR7636959452
BK0000131,TK0000131,2024-04-15,Counter,3857.4,0,3857.4,Confirmed,PNR1837435879
BK0000132,TK0000132,2024-02-28,Online,570.47,49.56,620.03,Confirmed,PNR6241280202
BK0000133,TK0000133,2024-08-09,Agent,2292.31,0,2292.31,Confirmed,PNR5872399039
BK0000134,TK0000134,2023-03-22,Counter,1970.23,0,1970.23,Confirmed,PNR6006704739
BK0000135,TK0000135,2023-10-13,IRCTC,102.89,25.56,128.45,Cancelled,PNR1651989581
BK0000136,TK0000136,2024-09-16,Online,3661.53,43.07,3704.6,Confirmed,PNR2438376310
BK0000137,TK0000137,2023-07-03,Counter,1430.29,0,1430.29,Confirmed,PNR5221958704
BK0000138,TK0000138,2024-04-08,IRCTC,2603.39,31.9,2635.29,Confirmed,PNR4291784068
BK0000139,TK0000139,2023-03-14,Agent,491.4,0,491.4,Confirmed,PNR8356564486
BK0000140,TK0000140,2024-07-16,Mobile App,419.89,19.92,439.81,Confirmed,PNR6160479823
BK0000141,TK0000141,2023-10-30,Mobile App,903.83,49.45,953.28,Confirmed,PNR8019293697
BK0000142,TK0000142,2023-09-26,Online,976.89,34.7,1011.59,Confirmed,PNR1002051633
BK0000143,TK0000143,2024-12-02,IRCTC,4717.68,27.52,4745.2,Confirmed,PNR4912451275
BK0000144,TK0000144,2024-02-02,Online,2739.28,11.96,2751.24,Confirmed,PNR2577673505
BK0000145,TK0000145,2023-07-12,Agent,1204.23,0,1204.23,Confirmed,PNR5429178037
BK0000146,TK0000146,2023-05-03,Agent,9167.4,0,9167.4,Confirmed,PNR8802720677
BK0000147,TK0000147,2023-11-22,Counter,2002.94,0,2002.94,Confirmed,PNR2270257857
BK0000148,TK0000148,2023-08-08,Mobile App,9557.87,25.57,9583.44,Confirmed,PNR1196534469
BK0000149,TK0000149,2024-07-13,Counter,1330.87,0,1330.87,Confirmed,PNR8970715241
BK0000150,TK0000150,2024-02-10,Counter,1600.37,0,1600.37,Confirmed,PNR2679330078
BK0000151,TK0000151,2024-03-27,Mobile App,2321.14,28.85,2349.99,Confirmed,PNR7504953789
BK0000152,TK0000152,2023-08-18,Counter,755.13,0,755.13,Confirmed,PNR3295544819
BK0000153,TK0000153,2024-03-12,Agent,822.13,0,822.13,Cancelled,PNR9458145692
BK0000154,TK0000154,2023-11-08,Agent,603.31,0,603.31,Confirmed,PNR3503742628
BK0000155,TK0000155,2023-01-01,IRCTC,1426.03,17.88,1443.91,Confirmed,PNR8182764192
BK0000156,TK0000156,2023-07-16,Mobile App,1411.46,25.65,1437.11,Confirmed,PNR4577493516
BK0000157,TK0000157,2023-11-10,Mobile App,995.95,36.95,1032.9,Confirmed,PNR7986979116
BK0000158,TK0000158,2024-12-12,Online,911.91,12.38,924.29,Confirmed,PNR6872026974
BK0000159,TK0000159,2023-10-20,Online,1179.28,26.23,1205.51,Confirmed,PNR6919790213
BK0000160,TK0000160,2023-09-12,IRCTC,5309.13,27.63,5336.76,Confirmed,PNR5523767877
BK0000161,TK0000161,2024-10-14,IRCTC,1501.89,30.53,1532.42,Confirmed,PNR9777715441
BK0000162,TK0000162,2024-04-17,Mobile App,732.36,41.48,773.84,Confirmed,PNR1971241815
BK0000163,TK0000163,2023-09-29,IRCTC,2924.98,46.4,2971.38,Confirmed,PNR3720364540
BK0000164,TK0000164,2024-03-01,Mobile App,3676.42,35.59,3712.01,Cancelled,PNR1481827924
BK0000165,TK0000165,2024-05-20,Mobile App,1673.45,25.97,1699.42,Cancelled,PNR7513541387
BK0000166,TK0000166,2023-08-15,Online,4782.94,25.34,4808.28,Cancelled,PNR7887904801
BK0000167,TK0000167,2024-10-21,Counter,629.05,0,629.05,Confirmed,PNR5432469460
BK0000168,TK0000168,2023-01-27,IRCTC,2065.94,26.1,2092.04,Confirmed,PNR6780753762
BK0000169,TK0000169,2024-03-04,Counter,1477.4,0,1477.4,Confirmed,PNR6617748878
BK0000170,TK0000170,2023-05-07,IRCTC,3201.91,36.32,3238.23,Confirmed,PNR9153863738
BK0000171,TK0000171,2023-05-20,IRCTC,267.86,43.24,311.1,Confirmed,PNR7941017558
BK0000172,TK0000172,2023-03-26,Agent,511.01,0,511.01,Confirmed,PNR3465533814
BK0000173,TK0000173,2023-03-14,Online,3434.23,18.74,3452.97,Confirmed,PNR7110223907
BK0000174,TK0000174,2023-04-20,Counter,124.82,0,124.82,Confirmed,PNR9638973147
BK0000175,TK0000175,2023-01-29,Counter,4204.37,0,4204.37,Confirmed,PNR1924232914
BK0000176,TK0000176,2024-01-24,Agent,609.14,0,609.14,Confirmed,PNR4260922342
BK0000177,TK0000177,2024-05-02,Counter,71.52,0,71.52,Confirmed,PNR7477096248
BK0000178,TK0000178,2023-06-20,Mobile App,1442.24,41.87,1484.11,Confirmed,PNR8639635284
BK0000179,TK0000179,2023-11-30,Counter,1535.4,0,1535.4,Confirmed,PNR2250440754
BK0000180,TK0000180,2023-03-05,Counter,2679.6,0,2679.6,Confirmed,PNR1753881769
BK0000181,TK0000181,2024-04-12,Agent,772.81,0,772.81,Pending,PNR6751952005
BK0000182,TK0000182,2024-04-25,Agent,277.23,0,277.23,Confirmed,PNR9235854077
BK0000183,TK0000183,2023-10-25,Counter,1014.47,0,1014.47,Confirmed,PNR5366093129
BK0000184,TK0000184,2023-10-23,Counter,3677.85,0,3677.85,Confirmed,PNR8497940664
BK0000185,TK0000185,2024-08-26,Mobile App,3362.62,45.22,3407.84,Confirmed,PNR7311390263
BK0000186,TK0000186,2023-02-13,Counter,3079.27,0,3079.27,Confirmed,PNR1960913502
BK0000187,TK0000187,2023-12-29,Counter,1567.33,0,1567.33,Cancelled,PNR7737548872
BK0000188,TK0000188,2024-05-03,Mobile App,6505.24,23.83,6529.07,Confirmed,PNR1364522917
BK0000189,TK0000189,2023-02-23,Online,3318.82,17.71,3336.53,Confirmed,PNR5636945549
BK0000190,TK0000190,2024-07-05,Online,1614.16,18.5,1632.66,Confirmed,PNR3529773730
BK0000191,TK0000191,2024-04-01,Mobile App,264.74,25.69,290.43,Confirmed,PNR7141003844
BK0000192,TK0000192,2023-09-09,IRCTC,256.38,25.56,281.94,Confirmed,PNR6339209376
BK0000193,TK0000193,2023-01-21,Agent,3711.89,0,3711.89,Confirmed,PNR4392427710
BK0000194,TK0000194,2024-09-25,IRCTC,1715.7,14.89,1730.59,Confirmed,PNR1982860417
BK0000195,TK0000195,2024-07-12,Agent,743.44,0,743.44,Cancelled,PNR3209031931
BK0000196,TK0000196,2023-03-29,IRCTC,4075.13,20.09,4095.22,Cancelled,PNR6893199688
BK0000197,TK0000197,2023-09-09,Online,1995.86,13.55,2009.41,Confirmed,PNR2704596862
BK0000198,TK0000198,2024-01-07,Agent,4680.51,0,4680.51,Confirmed,PNR4221033746
BK0000199,TK0000199,2023-11-03,Online,11135.26,19.7,11154.96,Confirmed,PNR7019372069
BK0000200,TK0000200,2023-01-06,Counter,100.11,0,100.11,Confirmed,PNR1973393704
BK0000201,TK0000201,2023-01-26,Mobile App,879.91,22.2,902.11,Confirmed,PNR8655965232
BK0000202,TK0000202,2024-04-05,Agent,2045.83,0,2045.83,Confirmed,PNR2832625794
BK0000203,TK0000203,2024-11-05,Agent,11979.65,0,11979.65,Cancelled,PNR2589106497
BK0000204,TK0000204,2023-01-24,Counter,11438.11,0,11438.11,Confirmed,PNR9186568903
BK0000205,TK0000205,2023-03-02,Counter,927.55,0,927.55,Confirmed,PNR3110906036
BK0000206,TK0000206,2024-12-13,Mobile App,7656.56,48.15,7704.71,Confirmed,PNR6955277014
BK0000207,TK0000207,2024-08-12,Online,2929.57,40.06,2969.63,Confirmed,PNR3406940534
BK0000208,TK0000208,2024-08-11,Mobile App,5336.22,12.28,5348.5,Confirmed,PNR3677276312
BK0000209,TK0000209,2023-11-13,Online,77.73,28.5,106.23,Confirmed,PNR5371689302
BK0000210,TK0000210,2024-11-29,Online,288.95,35.7,324.65,Cancelled,PNR4930095241
BK0000211,TK0000211,2023-01-04,Agent,4458.12,0,4458.12,Confirmed,PNR9575210338
BK0000212,TK0000212,2023-01-07,Agent,4961.58,0,4961.58,Confirmed,PNR4485157254
BK0000213,TK0000213,2023-06-27,IRCTC,6795.78,16.07,6811.85,Pending,PNR5270679967
BK0000214,TK0000214,2023-07-13,IRCTC,1508.23,36.93,1545.16,Confirmed,PNR5889015630
BK0000215,TK0000215,2023-02-24,IRCTC,8222.26,16.77,8239.03,Confirmed,PNR3422017386
BK0000216,TK0000216,2023-07-13,IRCTC,863.08,23.79,886.87,Confirmed,PNR4294074871
BK0000217,TK0000217,2023-07-03,Online,2401.36,40.74,2442.1,Confirmed,PNR7550274549
BK0000218,TK0000218,2023-09-07,Mobile App,491.97,19.51,511.48,Confirmed,PNR1560119253
BK0000219,TK0000219,2023-09-25,Mobile App,538.76,45.51,584.27,Confirmed,PNR6051141322
BK0000220,TK0000220,2023-06-04,Counter,9915.09,0,9915.09,Confirmed,PNR8475876616
BK0000221,TK0000221,2024-12-16,Counter,4349.03,0,4349.03,Confirmed,PNR7320610523
BK0000222,TK0000222,2024-02-12,IRCTC,219.22,15.69,234.91,Confirmed,PNR8518372299
BK0000223,TK0000223,2023-12-16,Online,1532.53,42.19,1574.72,Confirmed,PNR8056303557
BK0000224,TK0000224,2023-08-18,Agent,96.11,0,96.11,Pending,PNR1712961655
BK0000225,TK0000225,2023-07-21,Mobile App,980.08,46.47,1026.55,Confirmed,PNR7824526089
BK0000226,TK0000226,2024-01-28,Online,1012.69,18.12,1030.81,Confirmed,PNR7917643717
BK0000227,TK0000227,2024-02-29,Mobile App,2864.92,23.53,2888.45,Confirmed,PNR4767790602
BK0000228,TK0000228,2024-09-28,Agent,237.61,0,237.61,Confirmed,PNR2954398132
BK0000229,TK0000229,2024-09-16,IRCTC,3686.39,15.08,3701.47,Confirmed,PNR1061453336
BK0000230,TK0000230,2024-02-05,IRCTC,6937.62,47.32,6984.94,Confirmed,PNR8761363012
BK0000231,TK0000231,2023-06-07,IRCTC,1629.16,16.91,1646.07,Pending,PNR3388880748
BK0000232,TK0000232,2024-08-03,Mobile App,355.89,42.84,398.73,Confirmed,PNR5313267397
BK0000233,TK0000233,2023-12-19,IRCTC,372.14,28.79,400.93,Confirmed,PNR3148398781
BK0000234,TK0000234,2023-12-01,Online,3922.94,19.05,3941.99,Confirmed,PNR7528488791
BK0000235,TK0000235,2024-10-03,Agent,1437.4,0,1437.4,Confirmed,PNR2199647326
BK0000236,TK0000236,2024-02-12,Online,7059.57,25.85,7085.42,Confirmed,PNR6027967960
BK0000237,TK0000237,2023-02-09,Agent,142.22,0,142.22,Cancelled,PNR2101857955
BK0000238,TK0000238,2024-12-24,IRCTC,3978.56,48.14,4026.7,Confirmed,PNR5031319889
BK0000239,TK0000239,2023-04-29,IRCTC,91.28,44.52,135.8,Cancelled,PNR7613548868
BK0000240,TK0000240,2024-05-12,IRCTC,1611.77,14.62,1626.39,Pending,PNR3914696758
BK0000241,TK0000241,2024-09-12,Agent,2019.01,0,2019.01,Confirmed,PNR5464868996
BK0000242,TK0000242,2023-09-03,Online,220.85,12.96,233.81,Confirmed,PNR4908724911
BK0000243,TK0000243,2024-03-20,Agent,1599.46,0,1599.46,Confirmed,PNR7585659394
BK0000244,TK0000244,2023-10-06,IRCTC,6701.89,22.93,6724.82,Cancelled,PNR1768858661
BK0000245,TK0000245,2024-04-12,Mobile App,2248.81,42.6,2291.41,Confirmed,PNR5942064351
BK0000246,TK0000246,2023-04-18,Agent,1710.66,0,1710.66,Confirmed,PNR4760842336
BK0000247,TK0000247,2024-03-29,Online,5339.66,23.39,5363.05,Cancelled,PNR8376911672
BK0000248,TK0000248,2023-03-28,Mobile App,413.3,23.81,437.11,Pending,PNR7062187153
BK0000249,TK0000249,2023-02-05,Agent,190.75,0,190.75,Cancelled,PNR4865098929
BK0000250,TK0000250,2023-12-06,IRCTC,1336.83,22.5,1359.33,Confirmed,PNR7914537998
BK0000251,TK0000251,2023-07-30,Agent,623.03,0,623.03,Confirmed,PNR1295263716
BK0000252,TK0000252,2024-11-28,Agent,290.75,0,290.75,Confirmed,PNR1399788775
BK0000253,TK0000253,2024-01-29,Agent,5703.49,0,5703.49,Pending,PNR2482747838
BK0000254,TK0000254,2024-09-16,Agent,3377.18,0,3377.18,Confirmed,PNR4498220950
BK0000255,TK0000255,2024-01-21,Mobile App,559.03,30.88,589.91,Confirmed,PNR1148395709
BK0000256,TK0000256,2023-03-20,Agent,3748.31,0,3748.31,Confirmed,PNR9003088453
BK0000257,TK0000257,2024-10-23,Mobile App,1902.83,25.49,1928.32,Confirmed,PNR8735222348
BK0000258,TK0000258,2024-06-19,Counter,934.88,0,934.88,Confirmed,PNR5742336639
BK0000259,TK0000259,2023-07-27,IRCTC,3467.39,24.18,3491.57,Confirmed,PNR9160515161
BK0000260,TK0000260,2024-04-08,Counter,105.59,0,105.59,Confirmed,PNR1452059605
BK0000261,TK0000261,2023-10-16,IRCTC,2762.97,27.13,2790.1,Confirmed,PNR9481364862
BK0000262,TK0000262,2024-11-21,Mobile App,1924.26,10.52,1934.78,Cancelled,PNR4412999337
BK0000263,TK0000263,2024-04-14,Counter,1142.76,0,1142.76,Confirmed,PNR8475073352
BK0000264,TK0000264,2023-01-29,IRCTC,7327.61,25.85,7353.46,Confirmed,PNR2132606419
BK0000265,TK0000265,2024-02-01,Online,4308.14,24.07,4332.21,Confirmed,PNR7065312157
BK0000266,TK0000266,2023-10-20,IRCTC,2327.52,13.4,2340.92,Confirmed,PNR9125011618
BK0000267,TK0000267,2023-06-28,Counter,10538.07,0,10538.07,Confirmed,PNR2755569444
BK0000268,TK0000268,2024-03-17,Agent,2151.51,0,2151.51,Confirmed,PNR5017714528
BK0000269,TK0000269,2023-04-20,Counter,8411.4,0,8411.4,Cancelled,PNR1617904436
BK0000270,TK0000270,2024-01-26,Online,1579.3,39.94,1619.24,Confirmed,PNR6180057067
BK0000271,TK0000271,2024-01-13,Mobile App,4177.18,23.49,4200.67,Confirmed,PNR1301985415
BK0000272,TK0000272,2024-01-09,Mobile App,2596.41,22.07,2618.48,Confirmed,PNR9345531859
BK0000273,TK0000273,2024-09-29,Mobile App,1879.61,36.11,1915.72,Confirmed,PNR5258025548
BK0000274,TK0000274,2024-07-24,Counter,1926.85,0,1926.85,Confirmed,PNR7666620006
BK0000275,TK0000275,2023-12-24,Counter,66.69,0,66.69,Confirmed,PNR1592422723
BK0000276,TK0000276,2024-05-22,IRCTC,1242.72,36.79,1279.51,Confirmed,PNR6599650729
BK0000277,TK0000277,2023-05-31,IRCTC,6941.45,28.69,6970.14,Confirmed,PNR1438262526
BK0000278,TK0000278,2024-03-09,Mobile App,584.58,40.37,624.95,Confirmed,PNR4144794356
