delay_id,schedule_id,delay_reason,delay_minutes,affected_station_id,reported_date,impact_level,compensation_given,compensation_amount
DLY00051,SCH00879,Flood/Landslide,19,ST061,2023-05-22,Medium,TRUE,176.64
DLY00052,SCH00935,Signal Failure,194,ST060,2023-02-27,Medium,TRUE,1967.28
DLY00053,SCH00230,Flood/Landslide,75,ST040,2024-03-24,High,TRUE,698.58
DLY00054,SCH00379,Station Overcrowding,270,ST021,2023-03-18,Medium,TRUE,311.6
DLY00055,SCH00463,Congestion,60,ST012,2023-04-22,Low,TRUE,377.41
DLY00056,SCH00678,Signal Failure,100,ST043,2024-01-24,Low,FALSE,0
DLY00057,SCH00520,Track Maintenance,165,ST068,2023-09-27,Medium,FALSE,0
DLY00058,SCH00165,Track Maintenance,44,ST066,2023-09-10,Medium,TRUE,674.84
DLY00059,SCH00053,Track Maintenance,214,ST035,2024-10-25,Medium,TRUE,1672.5
DLY00060,SCH00550,Freight Priority,80,ST031,2023-04-12,Medium,FALSE,0
DLY00061,SCH00062,Weather,280,ST009,2024-04-09,High,TRUE,1526.97
DLY00062,SCH00678,Freight Priority,99,ST024,2024-08-02,Medium,TRUE,494.81
DLY00063,SCH00230,Track Maintenance,208,ST040,2024-12-20,Medium,TRUE,173.49
DLY00064,SCH00921,Power Failure,36,ST036,2024-02-29,Medium,TRUE,293.35
DLY00065,SCH00004,Flood/Landslide,275,ST062,2023-03-12,Medium,FALSE,0
DLY00066,SCH00479,Freight Priority,255,ST048,2024-11-24,Medium,FALSE,0
DLY00067,SCH00456,Flood/Landslide,270,ST048,2023-04-17,Low,FALSE,0
DLY00068,SCH00496,Station Overcrowding,13,ST041,2024-08-31,High,TRUE,1697.43
DLY00069,SCH00456,Accident,86,ST009,2024-06-18,Medium,FALSE,0
DLY00070,SCH00443,Signal Failure,284,ST039,2023-08-21,Low,TRUE,1124.89
DLY00071,SCH00543,Track Maintenance,5,ST051,2023-01-11,Low,FALSE,0
DLY00072,SCH00384,Flood/Landslide,27,ST040,2024-01-08,Medium,FALSE,0
DLY00073,SCH00038,Congestion,245,ST065,2024-06-27,Medium,FALSE,0
DLY00074,SCH00946,Accident,132,ST045,2024-09-30,High,TRUE,1708.11
DLY00075,SCH00519,Congestion,44,ST014,2023-08-10,Low,TRUE,1356.59
DLY00076,SCH00320,Accident,262,ST003,2024-01-14,Low,TRUE,193.76
DLY00077,SCH00376,Signal Failure,91,ST054,2023-11-22,Low,TRUE,1159.21
DLY00078,SCH00352,Accident,162,ST047,2024-09-07,Medium,FALSE,0
DLY00079,SCH00113,Weather,48,ST022,2023-01-17,Low,FALSE,0
DLY00080,SCH01000,Accident,130,ST040,2023-02-26,Low,TRUE,844.66
DLY00081,SCH00209,Freight Priority,137,ST041,2023-02-13,High,FALSE,0
DLY00082,SCH00831,Freight Priority,73,ST005,2024-05-07,Medium,TRUE,673.78
DLY00083,SCH00919,Station Overcrowding,231,ST033,2024-11-19,High,FALSE,0
DLY00084,SCH00387,Track Maintenance,94,ST043,2024-01-26,Critical,FALSE,0
DLY00085,SCH00931,Accident,45,ST003,2024-12-29,Low,TRUE,589.64
DLY00086,SCH00795,Weather,205,ST032,2023-12-07,Medium,FALSE,0
DLY00087,SCH00724,Power Failure,259,ST055,2024-08-14,High,TRUE,275.66
DLY00088,SCH00679,Accident,25,ST025,2024-01-05,Critical,TRUE,631.86
DLY00089,SCH00501,Congestion,271,ST021,2023-09-10,Medium,TRUE,1846.4
DLY00090,SCH00571,Congestion,207,ST022,2023-12-08,Low,FALSE,0
DLY00091,SCH00310,Station Overcrowding,183,ST071,2023-07-12,High,TRUE,1883.09
DLY00092,SCH00494,Freight Priority,125,ST075,2023-12-23,Critical,FALSE,0
DLY00093,SCH00983,Track Maintenance,23,ST037,2024-11-14,Critical,TRUE,343.05
DLY00094,SCH00933,Congestion,273,ST048,2023-11-02,High,TRUE,954.89
DLY00095,SCH00582,Flood/Landslide,229,ST009,2024-08-20,Medium,FALSE,0
DLY00096,SCH00284,Station Overcrowding,235,ST044,2023-08-09,Critical,TRUE,694.13
DLY00097,SCH00878,Track Maintenance,220,ST054,2023-06-25,High,TRUE,817.48
DLY00098,SCH00095,Signal Failure,175,ST051,2023-01-09,Critical,FALSE,0
DLY00099,SCH00763,Technical Fault,85,ST001,2023-11-30,Medium,TRUE,925.7
DLY00100,SCH00935,Technical Fault,147,ST009,2023-02-09,High,TRUE,1239.97
DLY00101,SCH00317,Weather,266,ST063,2024-07-23,Medium,FALSE,0
DLY00102,SCH00874,Congestion,252,ST072,2024-07-11,Low,FALSE,0
DLY00103,SCH00935,Congestion,55,ST007,2023-03-17,Low,TRUE,1715.5
DLY00104,SCH00340,Station Overcrowding,23,ST014,2024-04-18,High,TRUE,1001.1
DLY00105,SCH00161,Track Maintenance,199,ST035,2023-08-12,Low,FALSE,0
DLY00106,SCH00357,Weather,296,ST034,2023-02-08,High,FALSE,0
DLY00107,SCH00179,Power Failure,124,ST071,2024-12-15,Low,FALSE,0
DLY00108,SCH00371,Signal Failure,185,ST013,2024-07-07,Low,FALSE,0
DLY00109,SCH00495,Signal Failure,242,ST003,2023-01-04,Medium,FALSE,0
DLY00110,SCH00871,Accident,57,ST063,2024-08-07,High,FALSE,0
DLY00111,SCH00952,Station Overcrowding,84,ST049,2024-09-03,Low,FALSE,0
DLY00112,SCH00206,Signal Failure,219,ST052,2023-03-24,Low,FALSE,0
DLY00113,SCH00466,Freight Priority,153,ST011,2023-06-07,Medium,FALSE,0
DLY00114,SCH00426,Flood/Landslide,145,ST065,2023-09-19,Critical,TRUE,427.58
DLY00115,SCH00805,Station Overcrowding,77,ST006,2023-02-26,Critical,TRUE,1371.14
DLY00116,SCH00075,Track Maintenance,245,ST018,2023-06-11,Low,TRUE,954.27
DLY00117,SCH00340,Station Overcrowding,171,ST047,2023-05-29,Low,TRUE,1630.86
DLY00118,SCH00620,Track Maintenance,156,ST051,2024-07-23,Medium,TRUE,240.59
DLY00119,SCH00434,Congestion,116,ST075,2024-02-02,Low,FALSE,0
DLY00120,SCH00506,Power Failure,225,ST037,2023-07-24,Medium,TRUE,1019.62
DLY00121,SCH00423,Weather,139,ST041,2023-04-24,Medium,FALSE,0
DLY00122,SCH00215,Freight Priority,187,ST003,2024-08-21,Medium,FALSE,0
DLY00123,SCH00362,Signal Failure,299,ST037,2023-09-22,Low,TRUE,1611.41
DLY00124,SCH00936,Signal Failure,83,ST063,2023-12-17,Critical,TRUE,1892.94
DLY00125,SCH00321,Congestion,195,ST061,2023-09-29,Low,FALSE,0
DLY00126,SCH00042,Weather,288,ST011,2023-07-25,High,FALSE,0
DLY00127,SCH00618,Flood/Landslide,209,ST007,2024-03-13,High,FALSE,0
DLY00128,SCH00825,Weather,115,ST029,2024-08-02,Medium,TRUE,401.07
DLY00129,SCH00902,Flood/Landslide,248,ST071,2023-10-01,Medium,TRUE,1831.83
DLY00130,SCH00786,Flood/Landslide,26,ST065,2023-01-07,High,TRUE,433.19
DLY00131,SCH00546,Flood/Landslide,251,ST041,2023-08-28,Low,TRUE,1196.86
DLY00132,SCH00607,Flood/Landslide,101,ST053,2024-09-11,Critical,FALSE,0
DLY00133,SCH00132,Signal Failure,160,ST074,2024-10-16,Medium,TRUE,601.65
DLY00134,SCH00717,Congestion,127,ST071,2023-01-27,Critical,TRUE,1299.55
DLY00135,SCH00735,Signal Failure,166,ST067,2024-10-08,High,TRUE,888.02
DLY00136,SCH00093,Signal Failure,6,ST039,2024-07-28,High,TRUE,1099.45
DLY00137,SCH00847,Accident,89,ST041,2024-09-25,Low,FALSE,0
DLY00138,SCH00851,Technical Fault,263,ST047,2024-04-09,Low,FALSE,0
DLY00139,SCH00692,Station Overcrowding,77,ST001,2023-12-12,Low,TRUE,654.07
DLY00140,SCH00831,Signal Failure,135,ST023,2023-01-07,Low,FALSE,0
DLY00141,SCH00784,Congestion,32,ST049,2023-02-16,High,FALSE,0
DLY00142,SCH00548,Flood/Landslide,158,ST037,2024-04-22,Low,FALSE,0
DLY00143,SCH00029,Flood/Landslide,74,ST028,2023-11-01,High,TRUE,1849.91
DLY00144,SCH00230,Station Overcrowding,119,ST043,2024-04-29,Medium,FALSE,0
DLY00145,SCH00764,Freight Priority,163,ST053,2024-10-09,High,TRUE,1791.03
DLY00146,SCH00327,Station Overcrowding,175,ST065,2024-06-14,Medium,TRUE,1486.02
DLY00147,SCH00846,Station Overcrowding,12,ST027,2023-02-25,Low,FALSE,0
DLY00148,SCH00584,Power Failure,222,ST006,2024-10-26,Low,FALSE,0
DLY00149,SCH00907,Accident,287,ST060,2024-09-29,Critical,FALSE,0
DLY00150,SCH00489,Track Maintenance,192,ST058,2023-11-24,High,FALSE,0
DLY00151,SCH00140,Track Maintenance,254,ST071,2024-08-05,Low,TRUE,1444.99
DLY00152,SCH00125,Station Overcrowding,110,ST006,2023-01-24,Medium,TRUE,1303.08
DLY00153,SCH00288,Weather,294,ST002,2024-04-23,Low,TRUE,1606.55
DLY00154,SCH00066,Station Overcrowding,226,ST021,2023-04-01,High,TRUE,1069.93
DLY00155,SCH00456,Congestion,112,ST033,2024-03-12,Low,FALSE,0
DLY00156,SCH00195,Flood/Landslide,119,ST052,2024-09-02,High,TRUE,1711.51
DLY00157,SCH00541,Technical Fault,235,ST052,2023-09-07,Low,TRUE,1673.16
DLY00158,SCH00488,Freight Priority,105,ST005,2023-08-04,Low,FALSE,0
DLY00159,SCH00890,Power Failure,160,ST032,2024-09-02,High,FALSE,0
DLY00160,SCH00695,Track Maintenance,294,ST058,2023-12-17,Low,TRUE,858.7
DLY00161,SCH00949,Station Overcrowding,50,ST036,2024-01-07,Critical,TRUE,1081.43
DLY00162,SCH00483,Freight Priority,7,ST068,2024-10-23,Medium,TRUE,285.83
DLY00163,SCH00575,Technical Fault,95,ST036,2024-07-29,Medium,TRUE,968.37
DLY00164,SCH00310,Weather,200,ST046,2023-12-28,Medium,TRUE,442.9
DLY00165,SCH00515,Freight Priority,9,ST025,2024-02-22,Medium,TRUE,1115.98
DLY00166,SCH00084,Signal Failure,245,ST069,2024-06-24,Low,TRUE,848.48
DLY00167,SCH00152,Track Maintenance,133,ST038,2023-11-13,Low,TRUE,942.47
DLY00168,SCH00499,Congestion,190,ST021,2023-06-23,Medium,FALSE,0
DLY00169,SCH00025,Freight Priority,103,ST024,2023-08-06,High,FALSE,0
DLY00170,SCH00839,Power Failure,230,ST018,2024-01-02,Medium,FALSE,0
DLY00171,SCH00510,Freight Priority,147,ST002,2024-11-24,High,TRUE,1340.38
DLY00172,SCH00223,Station Overcrowding,223,ST021,2023-05-25,Medium,FALSE,0
DLY00173,SCH00605,Weather,191,ST025,2023-02-13,Medium,FALSE,0
DLY00174,SCH00468,Technical Fault,262,ST063,2024-07-03,Critical,FALSE,0
DLY00175,SCH00230,Power Failure,272,ST063,2023-10-12,High,FALSE,0
DLY00176,SCH00606,Flood/Landslide,252,ST020,2024-07-19,Medium,TRUE,1069.44
DLY00177,SCH00845,Flood/Landslide,217,ST068,2023-04-16,Low,TRUE,1303.06
DLY00178,SCH00883,Flood/Landslide,229,ST075,2023-06-07,Low,TRUE,1445.97
DLY00179,SCH00380,Signal Failure,283,ST007,2024-02-29,Medium,TRUE,1214.37
DLY00180,SCH00302,Signal Failure,219,ST042,2023-01-12,Low,FALSE,0
DLY00181,SCH00985,Congestion,45,ST025,2024-12-14,Medium,FALSE,0
DLY00182,SCH00274,Congestion,269,ST068,2023-05-29,Medium,TRUE,1064.42
DLY00183,SCH00131,Weather,137,ST027,2024-12-07,Low,TRUE,1786.99
DLY00184,SCH00428,Freight Priority,284,ST011,2024-05-30,Medium,FALSE,0
DLY00185,SCH00819,Weather,230,ST054,2023-12-22,Medium,TRUE,1372.98
DLY00186,SCH00055,Freight Priority,29,ST009,2024-03-11,Medium,TRUE,1071.07
DLY00187,SCH00959,Congestion,74,ST002,2024-06-21,Low,TRUE,1509.59
DLY00188,SCH00515,Signal Failure,262,ST064,2024-06-15,Critical,TRUE,1882.67
DLY00189,SCH00426,Track Maintenance,109,ST053,2023-09-08,Medium,FALSE,0
DLY00190,SCH00014,Flood/Landslide,96,ST007,2024-03-03,Medium,TRUE,943.77
DLY00191,SCH00971,Freight Priority,178,ST017,2024-01-25,Medium,TRUE,248.77
DLY00192,SCH00928,Station Overcrowding,64,ST047,2023-12-29,Medium,FALSE,0
DLY00193,SCH00833,Accident,242,ST058,2024-04-28,Low,FALSE,0
DLY00194,SCH00160,Track Maintenance,219,ST057,2023-04-30,Critical,FALSE,0
DLY00195,SCH00758,Power Failure,290,ST024,2023-01-29,Low,FALSE,0
DLY00196,SCH00667,Congestion,160,ST038,2023-01-25,High,TRUE,1578.26
DLY00197,SCH00130,Technical Fault,299,ST026,2024-01-06,Critical,FALSE,0
DLY00198,SCH00637,Flood/Landslide,55,ST041,2024-06-21,Low,TRUE,1854.48
DLY00199,SCH00190,Flood/Landslide,203,ST044,2024-01-04,High,TRUE,1574.56
DLY00200,SCH00953,Accident,15,ST030,2024-01-05,High,TRUE,465.7
DLY00201,SCH00212,Technical Fault,19,ST044,2023-12-15,Critical,FALSE,0
DLY00202,SCH00348,Freight Priority,287,ST033,2023-12-28,Medium,TRUE,1719.19
DLY00203,SCH00805,Power Failure,92,ST030,2024-04-17,Medium,TRUE,669.74
DLY00204,SCH00798,Congestion,56,ST032,2024-12-05,High,FALSE,0
DLY00205,SCH00660,Signal Failure,155,ST074,2023-07-27,Critical,TRUE,1434.3
DLY00206,SCH00510,Technical Fault,277,ST043,2023-03-04,Medium,TRUE,214.49
DLY00207,SCH00629,Technical Fault,265,ST044,2024-11-01,Medium,FALSE,0
DLY00208,SCH00066,Freight Priority,285,ST066,2024-04-25,High,TRUE,569.66
DLY00209,SCH00338,Accident,136,ST063,2023-06-26,Low,TRUE,1001.32
DLY00210,SCH00079,Technical Fault,111,ST055,2023-05-08,High,FALSE,0
DLY00211,SCH00684,Technical Fault,246,ST065,2023-07-07,Critical,FALSE,0
DLY00212,SCH00104,Accident,33,ST050,2024-09-22,Low,FALSE,0
DLY00213,SCH00450,Congestion,166,ST059,2023-04-26,Low,TRUE,279.52
DLY00214,SCH00182,Track Maintenance,265,ST063,2023-01-21,High,TRUE,502.12
DLY00215,SCH00044,Weather,31,ST071,2024-08-20,High,TRUE,1571.17
DLY00216,SCH00423,Flood/Landslide,278,ST057,2023-12-10,High,TRUE,930.78
DLY00217,SCH00271,Flood/Landslide,12,ST034,2024-05-31,Low,FALSE,0
DLY00218,SCH00903,Flood/Landslide,100,ST060,2024-04-25,Medium,FALSE,0
DLY00219,SCH00481,Accident,78,ST022,2023-02-04,Low,FALSE,0
DLY00220,SCH00460,Track Maintenance,225,ST007,2023-10-11,Critical,FALSE,0
DLY00221,SCH00378,Weather,101,ST001,2023-06-13,High,TRUE,1246.68
DLY00222,SCH00898,Power Failure,67,ST065,2024-02-23,Medium,TRUE,556.28
DLY00223,SCH00641,Station Overcrowding,77,ST019,2023-04-03,High,TRUE,1348.34
DLY00224,SCH00432,Station Overcrowding,242,ST013,2023-09-18,Low,TRUE,146.83
DLY00225,SCH00372,Accident,185,ST035,2023-10-11,Medium,FALSE,0
DLY00226,SCH00508,Congestion,62,ST030,2024-02-15,Critical,FALSE,0
DLY00227,SCH00030,Weather,258,ST070,2024-10-23,High,TRUE,1808.52
DLY00228,SCH00024,Weather,44,ST062,2023-04-13,Low,FALSE,0
DLY00229,SCH00280,Power Failure,76,ST059,2024-02-18,Low,TRUE,520.76
DLY00230,SCH00981,Signal Failure,30,ST019,2023-05-30,Low,FALSE,0
DLY00231,SCH00525,Power Failure,243,ST030,2023-07-08,Low,TRUE,1697.95
DLY00232,SCH00049,Signal Failure,246,ST047,2024-06-19,Medium,FALSE,0
DLY00233,SCH00947,Track Maintenance,185,ST056,2024-09-23,Medium,TRUE,1936.09
DLY00234,SCH00799,Weather,66,ST058,2023-08-19,Low,TRUE,145.25
DLY00235,SCH00990,Weather,153,ST063,2023-01-21,Low,TRUE,145.56
DLY00236,SCH00173,Signal Failure,187,ST067,2023-08-20,Medium,FALSE,0
DLY00237,SCH00758,Signal Failure,263,ST034,2023-12-16,Low,TRUE,947.69
DLY00238,SCH00593,Flood/Landslide,39,ST068,2024-06-14,Low,TRUE,430.01
DLY00239,SCH00117,Weather,110,ST020,2024-03-25,High,FALSE,0
DLY00240,SCH00719,Freight Priority,94,ST015,2024-11-12,Low,TRUE,1201.12
DLY00241,SCH00807,Track Maintenance,93,ST058,2023-10-03,High,TRUE,1722.9
DLY00242,SCH00597,Signal Failure,33,ST075,2023-10-20,Low,FALSE,0
DLY00243,SCH00547,Weather,56,ST067,2024-08-06,Medium,TRUE,1759.89
DLY00244,SCH00757,Station Overcrowding,224,ST019,2024-03-27,Low,FALSE,0
DLY00245,SCH00791,Technical Fault,226,ST047,2024-02-06,Medium,FALSE,0
DLY00246,SCH00474,Station Overcrowding,136,ST056,2024-11-08,Medium,TRUE,1280.72
DLY00247,SCH00780,Power Failure,256,ST005,2024-12-09,Low,TRUE,1258.03
DLY00248,SCH00372,Signal Failure,113,ST031,2023-12-02,Medium,FALSE,0
DLY00249,SCH00405,Track Maintenance,202,ST007,2024-03-12,Low,TRUE,1365.71
DLY00250,SCH00454,Track Maintenance,13,ST032,2024-04-23,Low,FALSE,0
DLY00251,SCH00418,Flood/Landslide,99,ST044,2024-02-17,High,FALSE,0
DLY00252,SCH00264,Station Overcrowding,229,ST027,2024-08-29,High,TRUE,1356.73
DLY00253,SCH00242,Accident,204,ST040,2024-09-07,High,TRUE,178.8
DLY00254,SCH00661,Flood/Landslide,79,ST043,2024-02-29,Critical,FALSE,0
DLY00255,SCH00827,Flood/Landslide,272,ST032,2023-12-19,Medium,TRUE,1341.14
DLY00256,SCH00302,Freight Priority,258,ST050,2024-02-02,Medium,TRUE,663.33
DLY00257,SCH00039,Weather,65,ST073,2023-03-18,Low,FALSE,0
DLY00258,SCH00269,Track Maintenance,179,ST052,2023-09-09,Medium,FALSE,0
DLY00259,SCH00915,Congestion,136,ST001,2024-11-04,Low,FALSE,0
DLY00260,SCH00833,Freight Priority,285,ST013,2023-02-13,High,FALSE,0
DLY00261,SCH00751,Flood/Landslide,87,ST029,2024-07-18,Medium,TRUE,635.87
DLY00262,SCH00909,Track Maintenance,134,ST020,2024-02-16,High,TRUE,1238.41
DLY00263,SCH00009,Freight Priority,273,ST022,2023-09-12,High,FALSE,0
DLY00264,SCH00579,Congestion,180,ST036,2024-02-01,Critical,FALSE,0
DLY00265,SCH00972,Accident,285,ST036,2023-03-31,Critical,TRUE,1132.77
DLY00266,SCH00945,Power Failure,289,ST028,2023-11-15,Medium,TRUE,1462.39
DLY00267,SCH00062,Track Maintenance,149,ST026,2024-01-12,Medium,TRUE,632.81
DLY00268,SCH00465,Congestion,25,ST048,2023-01-27,High,TRUE,1090.21
DLY00269,SCH00800,Accident,200,ST017,2024-09-06,High,TRUE,1820.73
DLY00270,SCH00057,Freight Priority,72,ST056,2024-11-27,Medium,TRUE,1165.44
DLY00271,SCH00532,Power Failure,107,ST027,2024-09-05,Low,FALSE,0
DLY00272,SCH00137,Power Failure,76,ST068,2024-06-11,High,FALSE,0
DLY00273,SCH00798,Freight Priority,177,ST056,2024-08-01,Medium,FALSE,0
DLY00274,SCH00816,Technical Fault,258,ST018,2023-10-22,Medium,FALSE,0
DLY00275,SCH00553,Power Failure,47,ST022,2024-09-27,Low,FALSE,0
DLY00276,SCH00687,Power Failure,134,ST031,2024-03-09,Critical,FALSE,0
DLY00277,SCH00485,Power Failure,203,ST028,2024-10-06,Low,FALSE,0
DLY00278,SCH00850,Congestion,102,ST021,2023-05-27,High,TRUE,1780.46
DLY00279,SCH00026,Power Failure,116,ST039,2024-09-02,High,FALSE,0
DLY00280,SCH00721,Freight Priority,49,ST031,2023-07-05,Low,TRUE,1800.46
DLY00281,SCH00816,Technical Fault,82,ST058,2024-03-01,Medium,TRUE,1945.84
DLY00282,SCH00175,Station Overcrowding,180,ST070,2023-05-05,Low,FALSE,0
DLY00283,SCH00659,Signal Failure,41,ST062,2024-01-23,Medium,TRUE,421.58
DLY00284,SCH00328,Flood/Landslide,58,ST067,2024-09-28,Medium,TRUE,497.45
DLY00285,SCH00827,Power Failure,27,ST016,2023-02-02,Medium,TRUE,839.66
DLY00286,SCH00908,Congestion,178,ST050,2023-02-16,High,FALSE,0
DLY00287,SCH00305,Power Failure,45,ST061,2023-02-26,Low,FALSE,0
DLY00288,SCH00005,Flood/Landslide,73,ST016,2024-09-12,Low,FALSE,0
DLY00289,SCH00199,Track Maintenance,253,ST024,2024-08-06,Low,FALSE,0
DLY00290,SCH00326,Accident,109,ST041,2023-08-30,Medium,TRUE,522.46
DLY00291,SCH00431,Congestion,186,ST011,2024-10-07,High,FALSE,0
DLY00292,SCH00069,Flood/Landslide,42,ST047,2024-07-23,Low,FALSE,0
DLY00293,SCH00299,Weather,70,ST069,2023-03-22,Critical,TRUE,1363.91
DLY00294,SCH00553,Weather,154,ST043,2024-05-11,Medium,TRUE,1647.35
DLY00295,SCH00307,Power Failure,172,ST015,2023-09-18,Medium,FALSE,0
DLY00296,SCH00632,Congestion,26,ST075,2024-05-15,Low,FALSE,0
DLY00297,SCH00345,Accident,38,ST022,2023-12-04,High,TRUE,451.29
DLY00298,SCH00038,Flood/Landslide,187,ST074,2023-11-05,Critical,TRUE,1345.41
DLY00299,SCH00972,Congestion,291,ST074,2023-03-27,Medium,FALSE,0
DLY00300,SCH00996,Station Overcrowding,224,ST037,2024-05-08,Medium,TRUE,1907.77
DLY00301,SCH00426,Track Maintenance,260,ST056,2023-07-08,High,FALSE,0
DLY00302,SCH00856,Power Failure,108,ST036,2023-08-15,High,TRUE,1715.3
DLY00303,SCH00648,Technical Fault,218,ST044,2024-01-22,High,FALSE,0
DLY00304,SCH00971,Power Failure,127,ST029,2024-04-08,Low,FALSE,0
DLY00305,SCH00173,Technical Fault,195,ST029,2023-06-16,Medium,TRUE,1481.44
DLY00306,SCH00172,Power Failure,69,ST014,2023-06-22,Low,TRUE,1571.97
DLY00307,SCH00080,Track Maintenance,33,ST055,2024-11-14,Critical,FALSE,0
DLY00308,SCH00717,Technical Fault,255,ST057,2023-04-10,Critical,FALSE,0
DLY00309,SCH00353,Freight Priority,95,ST030,2023-12-25,Medium,TRUE,334.72
DLY00310,SCH00633,Technical Fault,252,ST014,2024-04-16,Medium,FALSE,0
DLY00311,SCH00185,Weather,207,ST070,2024-12-07,Low,TRUE,1407.64
DLY00312,SCH00378,Flood/Landslide,179,ST053,2023-07-09,Low,TRUE,1047.55
DLY00313,SCH00910,Station Overcrowding,164,ST051,2024-10-22,High,FALSE,0
DLY00314,SCH00157,Track Maintenance,122,ST053,2024-03-27,Medium,TRUE,1898.33
DLY00315,SCH00305,Station Overcrowding,45,ST055,2024-01-02,Medium,TRUE,1576.7
DLY00316,SCH00133,Flood/Landslide,131,ST044,2024-01-14,High,TRUE,1540.11
DLY00317,SCH00011,Power Failure,76,ST035,2024-01-29,Low,TRUE,525.86
DLY00318,SCH00759,Power Failure,67,ST035,2024-07-03,Low,FALSE,0
DLY00319,SCH00079,Technical Fault,39,ST051,2024-12-28,Medium,TRUE,1119.35
